,FH_COVIDhub_baseline,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_IowaStateLW_STEM,FH_JHU_IDD_CovidSP,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_RobertWalraven_ESG,FH_UCLA_SuEIR,FH_USACE_ERDC_SEIR,UMich_RidgeTfReg,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_COVIDhub_baseline,0.0,1.1520599999999999,1.2762499999999992,1.1517899999999996,1.3817499999999998,1.4708099999999993,1.34546,0.6097200000000002,1.2788499999999998,1.1143699999999996,1.0887700000000002,1.3812000000000006,1.2892599999999996
FH_Covid19Sim_Simulator,1.1520599999999999,0.0,1.0996299999999999,0.79574,0.5291599999999999,0.8301,0.36752,1.1541899999999998,0.6359499999999998,0.9855999999999995,0.6823200000000001,0.5179499999999999,0.6643399999999999
FH_CovidAnalytics_DELPHI,1.2762499999999992,1.0996299999999999,0.0,0.67693,1.16134,0.4688300000000002,1.1247800000000001,0.7958300000000003,0.7932300000000002,0.4722099999999999,0.8137800000000003,1.09227,0.9359399999999998
FH_IowaStateLW_STEM,1.1517899999999996,0.79574,0.67693,0.0,0.84335,0.6589999999999999,0.7326599999999999,0.8940100000000001,0.66952,0.6433000000000001,0.7258300000000003,0.8565200000000002,0.92582
FH_JHU_IDD_CovidSP,1.3817499999999998,0.5291599999999999,1.16134,0.84335,0.0,0.8823799999999999,0.21420000000000003,1.4384800000000002,0.7704799999999996,1.14421,0.6616,0.4656100000000001,0.70966
FH_LANL_GrowthRate,1.4708099999999993,0.8301,0.4688300000000002,0.6589999999999999,0.8823799999999999,0.0,0.6759400000000001,0.9789399999999999,0.5562899999999998,0.4229800000000001,0.7597599999999999,0.6412699999999998,0.64964
FH_LNQ_ens1,1.34546,0.36752,1.1247800000000001,0.7326599999999999,0.21420000000000003,0.6759400000000001,0.0,1.3909399999999998,0.48040000000000016,1.0676999999999999,0.57056,0.36572000000000005,0.6369600000000001
FH_RobertWalraven_ESG,0.6097200000000002,1.1541899999999998,0.7958300000000003,0.8940100000000001,1.4384800000000002,0.9789399999999999,1.3909399999999998,0.0,1.0424399999999996,0.6148199999999999,0.9771299999999999,1.23782,0.9109199999999998
FH_UCLA_SuEIR,1.2788499999999998,0.6359499999999998,0.7932300000000002,0.66952,0.7704799999999996,0.5562899999999998,0.48040000000000016,1.0424399999999996,0.0,0.74728,0.86729,0.5747400000000001,0.7216199999999999
FH_USACE_ERDC_SEIR,1.1143699999999996,0.9855999999999995,0.4722099999999999,0.6433000000000001,1.14421,0.4229800000000001,1.0676999999999999,0.6148199999999999,0.74728,0.0,0.7387499999999999,0.8761299999999999,0.6783600000000001
UMich_RidgeTfReg,1.0887700000000002,0.6823200000000001,0.8137800000000003,0.7258300000000003,0.6616,0.7597599999999999,0.57056,0.9771299999999999,0.86729,0.7387499999999999,0.0,0.74255,0.8322000000000003
USC_SI_kJalpha,1.3812000000000006,0.5179499999999999,1.09227,0.8565200000000002,0.4656100000000001,0.6412699999999998,0.36572000000000005,1.23782,0.5747400000000001,0.8761299999999999,0.74255,0.0,0.49389999999999995
ensemble_SIkJa_RF,1.2892599999999996,0.6643399999999999,0.9359399999999998,0.92582,0.70966,0.64964,0.6369600000000001,0.9109199999999998,0.7216199999999999,0.6783600000000001,0.8322000000000003,0.49389999999999995,0.0
