,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_IowaStateLW_STEM,FH_JHU_IDD_CovidSP,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_RobertWalraven_ESG,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,UMich_RidgeTfReg,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_CEID_Walk,0.0,0.94108,0.6526933333333335,0.9100000000000004,0.75822,0.7398599999999999,0.8695799999999999,0.8275299999999999,0.8501066666666665,0.8683266666666666,0.8277133333333335,0.6995266666666666,0.7635333333333333,0.782293333333333,0.77642,0.7655333333333334,0.7355466666666666,0.8052733333333332,0.76238
FH_COVIDhub_baseline,0.94108,0.0,1.1086699999999987,1.2720066666666654,1.1081950000000003,1.2136366666666667,1.3720999999999999,1.009388,1.3702933333333318,1.2904799999999992,1.4121966666666645,1.2299966666666666,1.1539133333333327,1.3397200000000005,1.0993133333333334,1.3209499999999996,1.1605300000000005,1.3156466666666653,1.2962399999999994
FH_COVIDhub_ensemble,0.6526933333333335,1.1086699999999987,0.0,0.9104666666666666,0.49968499999999993,0.5789766666666665,0.5394080000000003,0.6138560000000001,0.7769633333333337,0.6973966666666661,0.5197399999999998,0.37933999999999996,0.4571166666666669,0.47081333333333364,0.7969999999999999,0.4387866666666671,0.5975166666666668,0.39574333333333345,0.8523500000000003
FH_CU_select,0.9100000000000004,1.2720066666666654,0.9104666666666666,0.0,0.8426599999999997,1.1108533333333337,0.7129866666666668,1.0265899999999994,0.6411866666666665,0.8482666666666668,1.0987533333333332,0.9553533333333329,0.9123933333333337,0.8740399999999998,0.3669200000000001,0.8646466666666669,0.8241466666666669,1.028806666666667,0.6052733333333336
FH_Covid19Sim_Simulator,0.75822,1.1081950000000003,0.49968499999999993,0.8426599999999997,0.0,0.7710549999999996,0.668806666666667,0.7207799999999998,0.772665,0.6926800000000004,0.7310050000000001,0.5620000000000004,0.6146600000000002,0.533145,0.6135400000000001,0.5242300000000008,0.6903099999999999,0.581805,0.7752750000000005
FH_CovidAnalytics_DELPHI,0.7398599999999999,1.2136366666666667,0.5789766666666665,1.1108533333333337,0.7710549999999996,0.0,0.6603719999999996,0.5854920000000005,0.9623766666666671,0.8035033333333332,0.29077000000000036,0.6307566666666673,0.5839166666666668,0.7151633333333335,0.8001666666666665,0.633113333333333,0.5032833333333331,0.5460300000000006,1.0195900000000004
FH_DDS_NBDS,0.8695799999999999,1.3720999999999999,0.5394080000000003,0.7129866666666668,0.668806666666667,0.6603719999999996,0.0,0.706825,0.706728,0.8065320000000002,0.5242520000000002,0.6426000000000002,0.7151679999999999,0.5983319999999999,0.74188,0.589512,0.7257359999999999,0.5587559999999998,0.9100400000000002
FH_IowaStateLW_STEM,0.8275299999999999,1.009388,0.6138560000000001,1.0265899999999994,0.7207799999999998,0.5854920000000005,0.706825,0.0,1.0360239999999996,0.8938,0.5307560000000004,0.7513239999999997,0.6209640000000001,0.805896,0.71207,0.7320160000000002,0.680372,0.6741640000000001,1.0097120000000002
FH_JHU_IDD_CovidSP,0.8501066666666665,1.3702933333333318,0.7769633333333337,0.6411866666666665,0.772665,0.9623766666666671,0.706728,1.0360239999999996,0.0,0.5231233333333336,1.0173166666666673,0.6126133333333331,0.7607066666666663,0.7206533333333329,0.5121733333333331,0.7037133333333329,0.7753466666666665,0.7409933333333332,0.43206666666666677
FH_Karlen_pypm,0.8683266666666666,1.2904799999999992,0.6973966666666661,0.8482666666666668,0.6926800000000004,0.8035033333333332,0.8065320000000002,0.8938,0.5231233333333336,0.0,0.8883066666666666,0.6131133333333328,0.605833333333333,0.6048533333333332,0.5840266666666665,0.703063333333333,0.7193099999999998,0.7248033333333336,0.5479266666666665
