,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_IDD_CovidSP,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_RobertWalraven_ESG,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,UMich_RidgeTfReg,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_CEID_Walk,0.0,0.9297360000000003,0.6394759999999999,0.9801880000000005,0.7219066666666667,0.7049959999999997,0.8781879999999995,0.8242250000000003,0.6965200000000001,0.8652099999999997,0.80398,0.8174199999999998,0.787584,0.6947999999999996,0.7321679999999999,0.7492759999999995,0.8107899999999993,0.7904359999999997,0.7663840000000005,0.7696440000000002,0.7645479999999999
FH_COVIDhub_baseline,0.9297360000000003,0.0,1.0887766666666667,1.3325599999999995,1.0906500000000001,1.2111499999999986,1.3676800000000005,1.0170640000000004,1.26584,1.3126499999999992,1.2640466666666665,1.2613666666666647,1.4112099999999985,1.1432833333333334,1.2375633333333338,1.301806666666667,1.1408750000000003,1.3256599999999992,1.1285733333333328,1.2900699999999983,1.2434366666666663
FH_COVIDhub_ensemble,0.6394759999999999,1.0887766666666667,0.0,1.0320559999999994,0.477075,0.3702833333333339,0.5932500000000002,0.47880399999999984,0.35092,0.8163699999999998,0.6919733333333342,0.61973,0.3819766666666668,0.30083333333333345,0.40510333333333376,0.4886500000000002,0.91204,0.4397133333333338,0.5764733333333334,0.35458333333333353,0.7888166666666664
FH_CU_select,0.9801880000000005,1.3325599999999995,1.0320559999999994,0.0,0.9854799999999997,1.1839840000000001,0.6984719999999999,1.0581899999999995,1.06452,0.6380399999999998,0.7873920000000003,0.8809879999999992,1.1670719999999994,1.0296759999999994,1.022956,0.9892280000000001,0.45924499999999996,0.8269359999999997,0.7764439999999998,1.0555000000000005,0.7136999999999997
FH_Covid19Sim_Simulator,0.7219066666666667,1.0906500000000001,0.477075,0.9854799999999997,0.0,0.6402500000000003,0.6203150000000001,0.5467399999999999,0.6083799999999999,0.7233700000000003,0.7940999999999999,0.663675,0.5941500000000003,0.5608900000000001,0.6117050000000002,0.597065,0.8573066666666667,0.5445299999999997,0.6990699999999999,0.5705150000000001,0.7430450000000002
FH_CovidAnalytics_DELPHI,0.7049959999999997,1.2111499999999986,0.3702833333333339,1.1839840000000001,0.6402500000000003,0.0,0.6964099999999999,0.5447839999999997,0.3049799999999999,0.9109799999999997,0.7502266666666664,0.6969266666666669,0.1988233333333334,0.3835233333333336,0.4126200000000007,0.49841666666666656,0.9609600000000004,0.5336433333333331,0.5867899999999998,0.3478800000000005,0.844516666666667
FH_DDS_NBDS,0.8781879999999995,1.3676800000000005,0.5932500000000002,0.6984719999999999,0.6203150000000001,0.6964099999999999,0.0,0.7407000000000005,0.6512399999999999,0.6782900000000001,0.6385766666666659,0.6255733333333329,0.6460100000000003,0.6470200000000006,0.7013833333333341,0.6075599999999997,0.7621849999999992,0.5496466666666662,0.7179899999999996,0.5773900000000003,0.78101
FH_IowaStateLW_STEM,0.8242250000000003,1.0170640000000004,0.47880399999999984,1.0581899999999995,0.5467399999999999,0.5447839999999997,0.7407000000000005,0.0,0.5390800000000001,0.70512,0.9021680000000006,0.7632400000000004,0.513784,0.5544280000000001,0.5634840000000003,0.6906880000000002,0.8613333333333331,0.6446320000000005,0.6642439999999997,0.5513159999999998,0.8752959999999999
FH_JCB_PRM,0.6965200000000001,1.26584,0.35092,1.06452,0.6083799999999999,0.3049799999999999,0.6512399999999999,0.5390800000000001,0.0,0.64884,0.39395999999999987,0.43362000000000017,0.27924,0.39618,0.26259999999999994,0.31183999999999995,0.7206199999999998,0.5229599999999999,0.6484799999999997,0.2974600000000001,0.6131200000000001
FH_JHUAPL_Bucky,0.8652099999999997,1.3126499999999992,0.8163699999999998,0.6380399999999998,0.7233700000000003,0.9109799999999997,0.6782900000000001,0.70512,0.64884,0.0,0.9074300000000001,0.7640699999999998,0.84929,0.8617099999999996,0.8603000000000001,0.9361599999999999,0.7382700000000001,0.57859,0.7765799999999998,0.8187800000000004,0.8168500000000002
