,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,UMich_RidgeTfReg,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_CEID_Walk,0.0,0.9317599999999991,0.6643933333333332,1.1056800000000002,1.0726000000000002,0.9748000000000004,1.09182,0.9997399999999997,0.8117300000000004,0.7935733333333334,0.9229266666666665,0.7989066666666669,0.7965880000000001,0.8075233333333335,0.7539,0.8271633333333329,0.8090633333333336,0.8719533333333334,0.7517233333333335,0.8313133333333331,0.73262,0.8224866666666664,0.7311933333333333,0.8795040000000001,0.7403800000000003,0.8364300000000002,0.8654933333333334
FH_COVIDhub_baseline,0.9317599999999991,0.0,1.097936666666666,1.4978399999999998,1.5496599999999996,1.4680600000000001,1.3762999999999999,1.4300733333333326,1.1215300000000006,1.19588,1.4425166666666678,1.0621466666666672,1.2973240000000001,1.2408466666666655,1.3717800000000002,1.1980466666666667,1.178783333333333,1.437146666666665,1.1144499999999995,1.3647399999999987,1.05238,1.3294499999999987,1.0036899999999995,1.3430079999999989,1.127656666666665,1.3218866666666647,1.2810466666666673
FH_COVIDhub_ensemble,0.6643933333333332,1.097936666666666,0.0,1.2984,1.3591199999999999,0.70246,1.2820999999999996,1.1924800000000002,0.5564833333333336,0.31365000000000026,0.8735800000000006,0.46446666666666675,0.7082280000000002,0.709596666666667,0.8080400000000002,0.5199966666666668,0.6161066666666671,0.35061333333333333,0.3741433333333336,0.33138,0.5594199999999999,0.3544033333333333,0.8233699999999998,0.5276519999999999,0.775313333333333,0.41055000000000014,0.7138533333333338
FH_CU_nochange,1.1056800000000002,1.4978399999999998,1.2984,0.0,0.12718,0.6939000000000002,0.14952,0.14952,0.7819200000000001,1.2814400000000001,0.6037600000000001,1.1994200000000002,0.56372,1.1342,0.5745999999999999,0.9252200000000002,0.9328599999999999,1.2778,1.1243399999999995,1.2584799999999998,1.16984,1.2895,0.8737599999999994,,0.86218,0.8269399999999999,0.48674000000000006
FH_CU_scenario_high,1.0726000000000002,1.5496599999999996,1.3591199999999999,0.12718,0.0,0.7505399999999999,0.15435999999999997,0.15435999999999997,0.9200800000000001,1.3405399999999994,0.502,1.2004599999999999,0.5208800000000002,1.1717600000000004,0.5016999999999999,1.0034,0.8935200000000002,1.3484200000000002,1.1989599999999998,1.3274400000000006,1.2153600000000002,1.3578999999999999,0.7952399999999997,,0.819,0.8987200000000002,0.5168600000000001
FH_CU_scenario_low,0.9748000000000004,1.4680600000000001,0.70246,0.6939000000000002,0.7505399999999999,0.0,0.6849600000000003,0.6849600000000003,0.7932200000000003,0.6837199999999999,0.6643400000000002,0.8329800000000002,0.83864,0.8352200000000002,0.5119,0.5233599999999999,0.85438,0.66262,0.4821599999999999,0.6554599999999999,0.7007599999999998,0.6704799999999999,0.8780399999999999,,0.8983599999999999,0.41544000000000003,0.6051400000000001
FH_CU_scenario_mid,1.09182,1.3762999999999999,1.2820999999999996,0.14952,0.15435999999999997,0.6849600000000003,0.0,0.0,0.8337000000000002,1.3280199999999993,0.57004,1.20904,0.5245599999999999,1.14962,0.61584,0.9978199999999998,0.88012,1.3442800000000006,1.1353,1.3156800000000002,1.1806200000000002,1.3568200000000001,0.8420000000000002,,0.8982800000000001,0.8665999999999998,0.5636800000000001
FH_CU_select,0.9997399999999997,1.4300733333333326,1.1924800000000002,0.14952,0.15435999999999997,0.6849600000000003,0.0,0.0,0.9926300000000007,1.2621600000000002,0.5977766666666668,1.14639,0.788875999999999,0.8470533333333331,0.61584,1.0258266666666667,0.9171466666666669,1.2467566666666663,1.0256633333333336,1.1988000000000005,1.1806200000000002,1.1892133333333343,0.7967333333333334,0.802384,0.7343233333333333,0.999986666666667,0.7429033333333332
FH_Covid19Sim_Simulator,0.8117300000000004,1.1215300000000006,0.5564833333333336,0.7819200000000001,0.9200800000000001,0.7932200000000003,0.8337000000000002,0.9926300000000007,0.0,0.6200233333333335,0.8692133333333337,0.6466333333333332,0.7421360000000004,0.759933333333333,0.8853999999999997,0.7169033333333337,0.7320433333333333,0.6159666666666669,0.60709,0.6244133333333337,0.7574000000000002,0.6343266666666665,0.8858533333333328,0.6155079999999998,0.7978600000000007,0.5587799999999998,0.713696666666667
FH_CovidAnalytics_DELPHI,0.7935733333333334,1.19588,0.31365000000000026,1.2814400000000001,1.3405399999999994,0.6837199999999999,1.3280199999999993,1.2621600000000002,0.6200233333333335,0.0,0.9265433333333332,0.45826333333333347,0.7467720000000001,0.7952666666666662,0.73994,0.5340766666666668,0.6370366666666669,0.17915333333333325,0.4174866666666667,0.20914333333333338,0.5658799999999998,0.2488400000000001,0.8888033333333331,0.5930399999999998,0.8547566666666669,0.4205400000000001,0.7650700000000002
