,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,UMich_RidgeTfReg,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_CEID_Walk,0.0,0.9239199999999997,0.6654199999999997,1.0581799999999995,1.0444300000000006,0.9932700000000003,1.0465900000000001,0.9878499999999995,0.8227966666666667,0.8219666666666661,0.9721566666666672,0.65104,0.80493,0.8092933333333331,0.8240500000000003,0.7539,0.846856666666666,0.8389300000000006,0.9143499999999994,0.7658066666666667,0.8846766666666668,0.7577300000000002,0.8711399999999998,0.7307866666666668,0.9083680000000004,0.7487879999999997,0.8663133333333337,0.8875400000000002
FH_COVIDhub_baseline,0.9239199999999997,0.0,1.1189500000000003,1.4913499999999993,1.5159099999999999,1.4796599999999995,1.4115099999999998,1.4329600000000007,1.1116866666666667,1.2129066666666664,1.48231,1.2003600000000005,1.0894133333333336,1.3088599999999992,1.24505,1.3717800000000002,1.2229499999999995,1.1911866666666668,1.4533933333333313,1.1368333333333336,1.3914366666666655,1.0678099999999997,1.3682333333333336,0.9930333333333327,1.3593600000000001,1.1381119999999998,1.3525699999999985,1.3105399999999998
FH_COVIDhub_ensemble,0.6654199999999997,1.1189500000000003,0.0,1.19814,1.2347799999999998,0.72118,1.18436,1.1714899999999988,0.6144999999999999,0.3098466666666669,0.9998100000000003,0.47124000000000005,0.4489633333333331,0.7457300000000004,0.6482866666666663,0.8080400000000002,0.5676433333333332,0.6996600000000003,0.3671533333333335,0.4561833333333335,0.34817000000000015,0.5393399999999998,0.34936999999999974,0.8001766666666662,0.538564,0.8130799999999997,0.47089666666666685,0.7948233333333331
FH_CU_nochange,1.0581799999999995,1.4913499999999993,1.19814,0.0,0.07248999999999996,0.6151899999999998,0.09060999999999987,0.09060999999999987,0.8176399999999999,1.22736,0.39099000000000006,0.9768200000000005,1.2023399999999993,0.5342299999999999,1.0986400000000005,0.5745999999999999,0.8387800000000003,0.75236,1.27908,0.7687,1.2727999999999993,1.1935099999999996,1.2692299999999992,0.7639,0.7113799999999998,0.86218,0.7455100000000003,0.4714
FH_CU_scenario_high,1.0444300000000006,1.5159099999999999,1.2347799999999998,0.07248999999999996,0.0,0.6511099999999997,0.08804999999999995,0.08804999999999995,0.8849100000000001,1.2712799999999993,0.32578,0.9816399999999998,1.2196099999999994,0.5077900000000002,1.1298000000000001,0.5016999999999999,0.8675600000000001,0.7214500000000005,1.3289100000000003,0.7890200000000004,1.3213,1.20893,1.3210199999999992,0.7175999999999999,0.7082200000000001,0.819,0.7826699999999999,0.47751999999999994
FH_CU_scenario_low,0.9932700000000003,1.4796599999999995,0.72118,0.6151899999999998,0.6511099999999997,0.0,0.5844400000000003,0.5844400000000003,0.7782300000000002,0.7352300000000003,0.67094,0.9196199999999999,0.8582700000000003,0.7371200000000002,0.8476700000000001,0.5119,0.6437599999999999,0.8213700000000002,0.7216500000000002,0.5399899999999999,0.7101799999999997,0.75674,0.7407699999999998,0.8443499999999999,0.50466,0.8983599999999999,0.48078,0.6345399999999999
FH_CU_scenario_mid,1.0465900000000001,1.4115099999999998,1.18436,0.09060999999999987,0.08804999999999995,0.5844400000000003,0.0,0.0,0.8386600000000003,1.254659999999999,0.37746999999999997,0.97906,1.2194999999999996,0.5082000000000001,1.11449,0.61584,0.8784499999999998,0.7251500000000003,1.32187,0.7498700000000004,1.3051300000000003,1.18362,1.31769,0.72919,0.6762199999999998,0.8982800000000001,0.7578599999999999,0.4937300000000003
FH_CU_select,0.9878499999999995,1.4329600000000007,1.1714899999999988,0.09060999999999987,0.08804999999999995,0.5844400000000003,0.0,0.0,0.9465333333333332,1.2383833333333338,0.4813633333333334,0.97906,1.1636966666666662,0.7393699999999988,0.9345066666666666,0.61584,0.9905666666666664,0.858869999999999,1.2451366666666663,0.8955333333333332,1.217856666666666,1.18362,1.1936600000000006,0.87153,0.7861520000000003,0.72604,0.9128133333333324,0.6441533333333336
FH_Covid19Sim_Simulator,0.8227966666666667,1.1116866666666667,0.6144999999999999,0.8176399999999999,0.8849100000000001,0.7782300000000002,0.8386600000000003,0.9465333333333332,0.0,0.6904599999999997,0.9583066666666675,0.7120000000000001,0.7163866666666668,0.7218533333333333,0.7962366666666666,0.8853999999999997,0.7177400000000004,0.8036699999999998,0.6916633333333334,0.6332566666666668,0.6914566666666666,0.6965500000000001,0.6773399999999998,0.8959366666666665,0.6354600000000002,0.8090680000000003,0.599713333333333,0.7386200000000006
FH_CovidAnalytics_DELPHI,0.8219666666666661,1.2129066666666664,0.3098466666666669,1.22736,1.2712799999999993,0.7352300000000003,1.254659999999999,1.2383833333333338,0.6904599999999997,0.0,1.0589066666666669,0.49158,0.4250833333333334,0.7930566666666669,0.6999566666666667,0.73994,0.60333,0.7175966666666665,0.2133466666666665,0.5442199999999999,0.21802000000000007,0.5792299999999997,0.2684366666666669,0.8544333333333333,0.5961639999999997,0.8681840000000003,0.5051333333333332,0.8696233333333332
