,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MSRA_DeepST,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,FH_UVA_Ensemble,USC_SI_kJalpha,USC_SI_kJalpha_RF,ensemble_SIkJa_RF
FH_BPagano_RtDriven,0.0,0.8525100000000001,1.4839299999999995,0.4656433333333333,0.5117833333333338,0.47643,0.6283899999999998,0.4595133333333334,0.4821399999999998,0.619216,0.8077733333333327,0.40813000000000005,0.5202040000000002,0.9195833333333324,0.5223600000000004,0.5035499999999994,0.3761666666666664,0.579436,0.4281950000000001,0.4112433333333333,0.617353333333333,0.4010000000000003,0.6277959999999999,0.25633999999999996,0.7850933333333322,0.7744266666666664,0.9284966666666662,0.39894400000000024,0.5785133333333332,0.8450666666666665,0.4248200000000001,0.7230066666666666,0.5556100000000002,0.388326666666667
FH_CEID_Walk,0.8525100000000001,0.0,1.1783200000000003,0.7358800000000002,0.9353599999999994,0.9299999999999993,0.8671333333333331,0.9020266666666666,0.9117666666666664,0.8812880000000003,0.8108566666666674,0.9095466666666662,0.8090319999999998,0.731056666666667,0.77966,0.812513333333333,0.8736433333333334,0.8867920000000001,0.9159350000000002,0.9073400000000006,0.88841,0.8781799999999998,0.8131240000000002,0.67344,0.7900933333333332,0.8561366666666671,0.8063133333333333,0.8579439999999995,0.7957066666666667,0.8372799999999996,0.71478,0.8176066666666668,0.9115599999999998,0.8657200000000003
FH_COVIDhub_baseline,1.4839299999999995,1.1783200000000003,0.0,1.33897,1.5327666666666648,1.553556666666665,1.5294766666666655,1.5180266666666666,1.5243900000000004,1.3648279999999986,1.4118099999999985,1.5797233333333305,1.5253079999999992,1.281349999999999,1.4692233333333276,1.408546666666663,1.4998199999999955,1.4695560000000012,1.4676100000000003,1.5102533333333286,1.5477466666666675,1.5049499999999996,1.5341560000000003,1.5784000000000002,1.4935433333333343,1.3543133333333317,1.542643333333333,1.4797159999999956,1.4431499999999982,1.560240000000001,1.6598799999999994,1.4699666666666638,1.5908599999999995,1.532419999999999
FH_COVIDhub_ensemble,0.4656433333333333,0.7358800000000002,1.33897,0.0,0.5002366666666668,0.47353999999999985,0.5490266666666663,0.4160666666666668,0.4484100000000002,0.5186200000000001,0.8107133333333326,0.4119100000000001,0.4888960000000001,0.8841899999999998,0.5620799999999999,0.42343000000000003,0.36617333333333374,0.49950800000000006,0.2757900000000001,0.3674100000000001,0.5112700000000003,0.33196666666666713,0.6226120000000002,0.20105999999999993,0.703036666666667,0.7033300000000003,1.017966666666666,0.2515359999999998,0.6124466666666666,0.8904133333333331,0.36327,0.7491266666666675,0.37533999999999973,0.3811500000000003
FH_CU_nochange,0.5117833333333338,0.9353599999999994,1.5327666666666648,0.5002366666666668,0.0,0.06700666666666683,0.38359666666666725,0.12358000000000002,0.09454000000000005,0.5971280000000001,0.9361000000000005,0.32166000000000006,0.5794199999999999,0.9862933333333321,0.5935199999999997,0.5601733333333331,0.33565666666666655,0.5012960000000004,0.3011349999999998,0.3672399999999998,0.6528899999999996,0.316126666666667,0.7141279999999994,0.71242,0.7926866666666662,0.7729500000000004,1.0724866666666664,0.43288,0.7018266666666668,0.5976866666666665,0.58433,0.7362033333333328,0.30095999999999984,0.2684033333333334
FH_CU_scenario_high,0.47643,0.9299999999999993,1.553556666666665,0.47353999999999985,0.06700666666666683,0.0,0.4276000000000002,0.06667999999999998,0.05624333333333335,0.5757560000000005,0.9655799999999999,0.2448833333333333,0.5650879999999999,0.9994666666666666,0.5490533333333333,0.5107233333333339,0.25244999999999995,0.5170720000000004,0.233145,0.28636333333333314,0.6481433333333332,0.2701833333333334,0.6957319999999992,0.6397400000000001,0.8101333333333326,0.8038399999999999,1.107213333333333,0.36188400000000004,0.6515900000000001,0.6488200000000003,0.5688299999999998,0.7712233333333329,0.26253,0.2322233333333334
FH_CU_scenario_low,0.6283899999999998,0.8671333333333331,1.5294766666666655,0.5490266666666663,0.38359666666666725,0.4276000000000002,0.0,0.40878333333333355,0.37628666666666666,0.7022159999999994,0.7304433333333332,0.5916533333333326,0.5728560000000005,0.7850866666666663,0.7783200000000002,0.6791966666666661,0.5978866666666669,0.5462560000000001,0.5710950000000002,0.6290033333333337,0.4179933333333333,0.49917666666666727,0.6133759999999995,0.6908599999999998,0.4491266666666668,0.6294966666666667,0.788573333333333,0.5853079999999998,0.6593366666666673,0.44264666666666663,0.5606300000000001,0.5716066666666667,0.4025599999999999,0.5132133333333335
FH_CU_scenario_mid,0.4595133333333334,0.9020266666666666,1.5180266666666666,0.4160666666666668,0.12358000000000002,0.06667999999999998,0.40878333333333355,0.0,0.03249666666666668,0.5785840000000004,0.9558566666666661,0.21279000000000003,0.5620440000000003,0.9946299999999997,0.5139599999999995,0.4561633333333334,0.2095566666666668,0.5089440000000003,0.174375,0.25195666666666683,0.6158566666666659,0.19571999999999995,0.6624479999999995,0.55362,0.7761466666666671,0.7829433333333329,1.1531199999999997,0.2954319999999999,0.6016766666666664,0.7253599999999999,0.5219400000000003,0.7476933333333329,0.27141000000000026,0.2298066666666666
FH_CU_select,0.4821399999999998,0.9117666666666664,1.5243900000000004,0.4484100000000002,0.09454000000000005,0.05624333333333335,0.37628666666666666,0.03249666666666668,0.0,0.5938760000000002,0.9569633333333337,0.2480833333333334,0.5955160000000005,0.9695433333333328,0.56386,0.5051233333333334,0.2591233333333333,0.525528,0.21072500000000005,0.30266999999999994,0.6268466666666664,0.2363633333333334,0.7110199999999993,0.6908599999999998,0.7593466666666667,0.79036,1.131986666666666,0.35162799999999983,0.6364866666666678,0.6002133333333332,0.5606300000000001,0.73981,0.27141000000000026,0.25826000000000016
FH_Covid19Sim_Simulator,0.619216,0.8812880000000003,1.3648279999999986,0.5186200000000001,0.5971280000000001,0.5757560000000005,0.7022159999999994,0.5785840000000004,0.5938760000000002,0.0,0.7950360000000002,0.6044520000000003,0.6152899999999994,0.8452799999999998,0.7823479999999999,0.6782319999999997,0.5990320000000001,0.6890850000000001,0.36830666666666656,0.5501560000000003,0.6845319999999998,0.5541920000000004,0.7818050000000001,0.7173399999999998,0.8411239999999996,0.7135560000000001,0.9160679999999997,0.48577000000000015,0.6977480000000004,0.7698599999999999,0.64916,0.7626199999999999,0.48019000000000006,0.5420959999999998
