,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IQVIA_ACOE_STAN,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MSRA_DeepST,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_BPagano_RtDriven,0.0,0.7061800000000001,1.5789999999999988,0.4269033333333333,0.6009533333333336,0.6033233333333333,0.55744,0.6005200000000002,0.5741600000000001,0.5071900000000004,0.5082366666666661,0.5970400000000005,0.6430533333333336,0.5160466666666668,0.7160599999999999,0.6693899999999998,0.53067,0.5216866666666663,0.6695633333333333,0.6241399999999996,0.49453333333333366,0.4839640000000004,0.6187800000000001,0.5070766666666665,0.7259800000000002,0.5066700000000003,0.6801633333333337,0.49172333333333323,0.4930533333333331,0.6264233333333334,0.5893680000000002,0.6734350000000002,0.5316266666666666,0.47258333333333336,0.5292566666666664
FH_CEID_Walk,0.7061800000000001,0.0,1.530475,0.6430649999999999,0.6882199999999998,0.6953900000000001,0.6781199999999998,0.7015549999999999,0.7044249999999996,0.6419549999999997,0.7004700000000003,0.6960250000000001,0.6713500000000004,0.7557200000000002,,0.7031300000000001,0.6762700000000001,0.682275,0.6935800000000001,0.7037500000000001,0.6606450000000003,0.7136400000000003,0.659753333333333,0.6726850000000004,0.6820399999999998,0.6702250000000002,0.64859,0.6275350000000005,0.6943050000000005,0.6475600000000002,0.7088600000000003,0.6220666666666668,0.59317,0.694465,0.658865
FH_COVIDhub_baseline,1.5789999999999988,1.530475,0.0,1.5481800000000008,1.5765433333333307,1.5712666666666641,1.5886533333333333,1.5646466666666667,1.5839000000000005,1.5489700000000004,1.5884699999999965,1.6041900000000004,1.5950499999999992,1.5445233333333295,1.5471999999999997,1.3811866666666652,1.5703199999999995,1.5721466666666648,1.518546666666667,1.5581199999999984,1.527889999999998,1.543067999999998,1.5610479999999995,1.583939999999999,1.71498,1.69034,1.6134033333333326,1.562836666666665,1.5617499999999958,1.5700233333333304,1.5591839999999966,1.5594300000000008,1.711103333333333,1.5342566666666648,1.5943300000000011
FH_COVIDhub_ensemble,0.4269033333333333,0.6430649999999999,1.5481800000000008,0.0,0.51858,0.5214133333333333,0.4935933333333337,0.5424966666666661,0.5165066666666663,0.38632999999999984,0.3170833333333333,0.6605566666666666,0.5984133333333331,0.3680399999999999,0.78664,0.5426133333333332,0.60039,0.34950999999999977,0.6808766666666664,0.6415866666666666,0.3501066666666668,0.25492800000000004,0.5584,0.3022733333333334,0.6134199999999999,0.4406533333333336,0.6347466666666667,0.3310166666666664,0.34795333333333317,0.48736333333333354,0.627264,0.5624050000000003,0.43278333333333335,0.30217666666666676,0.45867000000000036
FH_CU_nochange,0.6009533333333336,0.6882199999999998,1.5765433333333307,0.51858,0.0,0.043759999999999945,0.053209999999999945,0.1299166666666667,0.046039999999999984,0.43177333333333345,0.6083166666666662,0.5161199999999998,0.7199766666666658,0.45106000000000024,0.8992200000000001,0.7398500000000001,0.7394149999999997,0.5190866666666665,0.6247599999999994,0.5892399999999995,0.659216666666666,0.511292,0.43275199999999997,0.373326666666667,0.46738,0.6020733333333332,0.6785233333333334,0.6154466666666667,0.6333233333333329,0.68393,0.7057159999999992,0.7157100000000003,0.55694,0.5780699999999998,0.5731933333333336
FH_CU_scenario_high,0.6033233333333333,0.6953900000000001,1.5712666666666641,0.5214133333333333,0.043759999999999945,0.0,0.08163000000000004,0.07636666666666675,0.05378999999999998,0.44277000000000044,0.6314933333333329,0.5280066666666666,0.7090466666666672,0.44008333333333344,0.87338,0.7656800000000005,0.6929549999999999,0.5386733333333334,0.6168666666666667,0.5628700000000001,0.6440433333333335,0.496272,0.4182519999999998,0.3851100000000001,0.4349,0.6091866666666671,0.6657299999999998,0.6498766666666668,0.6649633333333336,0.6971133333333331,0.6844080000000002,0.7140350000000002,0.575483333333333,0.6009133333333331,0.54618
FH_CU_scenario_low,0.55744,0.6781199999999998,1.5886533333333333,0.4935933333333337,0.053209999999999945,0.08163000000000004,0.0,0.13244000000000003,0.04429333333333331,0.43416999999999994,0.5618500000000001,0.5200600000000001,0.7138599999999998,0.4621500000000006,0.8877999999999997,0.7171033333333335,0.7289100000000001,0.5031800000000002,0.6164333333333335,0.6006900000000005,0.6491300000000002,0.4946680000000002,0.4285680000000003,0.3658633333333335,0.5246999999999999,0.6183933333333336,0.7070533333333341,0.5523866666666667,0.5972433333333336,0.6498700000000002,0.7097959999999996,0.6999699999999999,0.5511633333333333,0.5467433333333335,0.5582799999999996
FH_CU_scenario_mid,0.6005200000000002,0.7015549999999999,1.5646466666666667,0.5424966666666661,0.1299166666666667,0.07636666666666675,0.13244000000000003,0.0,0.08814666666666668,0.4510700000000002,0.6796499999999999,0.5652799999999999,0.6735666666666663,0.42386666666666667,0.7523599999999998,0.828656666666667,0.6051149999999998,0.5689533333333338,0.5957699999999999,0.5147099999999998,0.6304066666666667,0.4945840000000001,0.3950040000000003,0.41427000000000047,0.4469800000000001,0.633533333333333,0.6942400000000002,0.6889299999999996,0.7177233333333334,0.7031833333333335,0.647048,0.7130699999999996,0.603213333333334,0.6142999999999997,0.5077000000000002
FH_CU_select,0.5741600000000001,0.7044249999999996,1.5839000000000005,0.5165066666666663,0.046039999999999984,0.05378999999999998,0.04429333333333331,0.08814666666666668,0.0,0.43660000000000004,0.61028,0.4943033333333332,0.7122166666666667,0.451026666666667,0.8877999999999997,0.7494066666666668,0.70528,0.5363933333333337,0.6097299999999999,0.5713699999999995,0.6727033333333334,0.5171240000000003,0.39250000000000007,0.3699833333333338,0.5246999999999999,0.614443333333333,0.6803266666666669,0.6098999999999998,0.6457666666666665,0.6846266666666666,0.7077840000000001,0.7313499999999995,0.5638866666666672,0.5930366666666665,0.5581933333333333
FH_Covid19Sim_Simulator,0.5071900000000004,0.6419549999999997,1.5489700000000004,0.38632999999999984,0.43177333333333345,0.44277000000000044,0.43416999999999994,0.4510700000000002,0.43660000000000004,0.0,0.5273733333333331,0.6785933333333335,0.5807166666666668,0.37415000000000004,0.6618,0.7222800000000004,0.6041150000000001,0.44300333333333347,0.6775933333333333,0.5355500000000001,0.4513199999999998,0.3789440000000001,0.4949999999999997,0.3719833333333335,0.66462,0.4983366666666667,0.7463533333333331,0.5207333333333334,0.5212166666666668,0.6435733333333334,0.672908,0.6073250000000001,0.5495366666666662,0.4922799999999999,0.5511633333333338
