,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IUPUI_HkPrMobiDyR,FH_IowaStateLW_STEM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_SigSci_TS,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha,ensemble_SIkJa_RF
COVID_Hub_Trained_Ensemble,0.0,0.6521999999999996,0.7892440000000007,1.5372440000000003,0.6638799999999997,0.08452800000000003,0.7392720000000003,0.7423360000000002,0.771624,0.7585479999999994,0.7478679999999996,0.6572519999999998,0.6077439999999998,0.6352200000000001,0.5834760000000002,0.6960919999999992,0.9144600000000002,1.0001550000000006,0.6496279999999994,0.765096,0.6087280000000002,0.6506679999999999,0.7121639999999996,0.72314,0.6603400000000006,0.6578039999999996,0.649592,0.5874840000000003,0.27543999999999996,0.6604560000000003,0.8498000000000004,0.6472400000000003,0.80919,,0.675948,0.5719000000000001,0.6936639999999994,0.8305999999999999
FH_BPagano_RtDriven,0.6521999999999996,0.0,0.713383333333333,1.56262,0.05782666666666667,0.7571839999999995,0.5470133333333335,0.5942366666666667,0.5057166666666669,0.6424766666666667,0.6030300000000001,0.10853666666666668,0.12250666666666679,0.49495200000000017,0.35388000000000014,0.0980900000000001,1.35258,0.6519079999999998,0.12240000000000006,0.9735466666666666,0.41302333333333374,0.09974333333333348,0.0943633333333334,0.6046366666666665,0.07195,0.09336000000000014,0.10102800000000002,0.26639666666666667,0.8370266666666661,0.037550000000000014,0.7840600000000003,0.05243333333333333,0.4653080000000001,0.742,0.6763099999999999,0.2194160000000001,0.10868999999999997,0.38058999999999993
FH_CEID_Walk,0.7892440000000007,0.713383333333333,0.0,1.39644,0.6835266666666665,0.8077560000000007,0.7085999999999999,0.7084699999999998,0.7198733333333335,0.7040999999999994,0.716526666666666,0.7192499999999998,0.692033333333333,0.682496,0.6738766666666666,0.692223333333333,0.80842,0.8445919999999997,0.6821099999999998,0.7543233333333328,0.7050833333333331,0.7149500000000001,0.7215666666666666,0.6881366666666666,0.6949033333333331,0.6859266666666666,0.6944200000000003,0.6952633333333329,0.7804733333333339,0.6948000000000004,0.8886280000000008,0.695016666666666,0.7099439999999998,0.5503399999999999,0.6478266666666667,0.693484,0.6826999999999999,0.61588
FH_COVIDhub_baseline,1.5372440000000003,1.56262,1.39644,0.0,1.5435680000000005,1.5316200000000009,1.555960000000001,1.5607759999999997,1.5076919999999998,1.5529880000000005,1.5482000000000002,1.5559759999999978,1.5633119999999983,1.585144999999999,1.5984320000000005,1.5204159999999998,1.5518799999999997,0.8563200000000002,1.5718319999999992,1.320708,1.490963999999999,1.5465880000000003,1.551904,1.5806040000000001,1.5161720000000014,1.5389879999999991,1.5473320000000004,1.618836,1.5978679999999998,1.5648839999999995,0.8899279999999998,1.5489759999999986,1.5569450000000002,,1.4121639999999984,1.5859200000000007,1.5151479999999986,1.59366
FH_COVIDhub_ensemble,0.6638799999999997,0.05782666666666667,0.6835266666666665,1.5435680000000005,0.0,0.7695039999999996,0.5329066666666672,0.5795800000000002,0.491146666666667,0.6295033333333336,0.5896833333333334,0.09537666666666673,0.11552333333333349,0.47752799999999995,0.36405666666666703,0.06265666666666665,1.3660400000000001,0.6412920000000001,0.11339333333333333,0.9644199999999995,0.4064066666666669,0.08784000000000011,0.08476666666666667,0.5850266666666664,0.06242666666666666,0.09028333333333345,0.08956800000000004,0.2705600000000001,0.8374233333333331,0.03487333333333333,0.7466800000000007,0.04398333333333331,0.4594280000000001,0.6985799999999999,0.6750999999999997,0.20195600000000008,0.07926999999999997,0.3485399999999999
FH_COVIDhub_trained_ensemble,0.08452800000000003,0.7571839999999995,0.8077560000000007,1.5316200000000009,0.7695039999999996,0.0,0.8180560000000001,0.8159560000000001,0.8469720000000001,0.8284239999999993,0.8177439999999994,0.7613720000000005,0.7129119999999999,0.6352200000000001,0.635588,0.8018319999999995,0.9144600000000002,1.1153950000000004,0.7333239999999995,0.7785919999999998,0.6334840000000003,0.7572120000000001,0.8175679999999997,0.7806239999999998,0.7681800000000006,0.76314,0.7551279999999998,0.6920280000000003,0.3232399999999999,0.7662040000000006,0.9160760000000002,0.7526240000000004,0.80919,,0.7354440000000003,0.6583649999999999,0.8003439999999996,0.8305999999999999
FH_CU_nochange,0.7392720000000003,0.5470133333333335,0.7085999999999999,1.555960000000001,0.5329066666666672,0.8180560000000001,0.0,0.03137,0.10246000000000005,0.08405666666666671,0.07805000000000005,0.5481633333333333,0.5380966666666667,0.7433159999999994,0.5787599999999999,0.5573766666666667,1.2626399999999998,0.8715319999999998,0.527986666666667,0.8045533333333333,0.6554633333333335,0.5452200000000007,0.5458466666666673,0.45128666666666695,0.54416,0.5225466666666669,0.5219360000000003,0.5433633333333333,0.7534133333333334,0.5376633333333337,0.7129239999999998,0.5474833333333333,0.6959999999999998,0.52858,0.7114600000000002,0.49202400000000024,0.5398000000000001,0.6791799999999998
FH_CU_scenario_high,0.7423360000000002,0.5942366666666667,0.7084699999999998,1.5607759999999997,0.5795800000000002,0.8159560000000001,0.03137,0.0,0.1367566666666666,0.03429999999999995,0.04552999999999995,0.5967599999999997,0.5782166666666668,0.7757399999999997,0.5997299999999998,0.5980833333333333,1.22594,0.8992920000000001,0.57459,0.7708466666666668,0.6770866666666665,0.5898300000000002,0.5858599999999999,0.42278000000000016,0.5859300000000003,0.5622100000000002,0.5589920000000002,0.5722366666666666,0.728493333333333,0.5843033333333342,0.713544,0.5945033333333327,0.7165159999999996,0.53594,0.6860799999999995,0.5245679999999999,0.5885799999999997,0.7127600000000003
FH_CU_scenario_low,0.771624,0.5057166666666669,0.7198733333333335,1.5076919999999998,0.491146666666667,0.8469720000000001,0.10246000000000005,0.1367566666666666,0.0,0.1645366666666664,0.12454333333333349,0.50362,0.5102633333333335,0.6887079999999999,0.5877733333333333,0.5272533333333332,1.2687799999999998,0.8058639999999998,0.4962500000000002,0.8179199999999998,0.6030900000000002,0.5095633333333337,0.5093000000000001,0.5074300000000004,0.5146800000000004,0.5048966666666671,0.509272,0.5254300000000003,0.8112966666666664,0.5048266666666672,0.7288519999999999,0.5082333333333336,0.6591240000000002,0.5023999999999997,0.7227566666666668,0.4799520000000001,0.49824333333333387,0.62495
FH_CU_scenario_mid,0.7585479999999994,0.6424766666666667,0.7040999999999994,1.5529880000000005,0.6295033333333336,0.8284239999999993,0.08405666666666671,0.03429999999999995,0.1645366666666664,0.0,0.03999333333333334,0.6451366666666664,0.6227499999999994,0.782764,0.6228033333333329,0.6475733333333327,1.2107999999999997,0.905804,0.6261166666666668,0.7519500000000001,0.7046266666666662,0.6387266666666668,0.6326199999999997,0.4289966666666667,0.6386200000000007,0.605083333333334,0.617392,0.6062966666666668,0.7206766666666663,0.6379366666666664,0.7345280000000007,0.6436666666666665,0.7316559999999999,0.5113200000000001,0.6938133333333335,0.5614640000000003,0.6393599999999996,0.70772
