,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IUPUI_HkPrMobiDyR,FH_IowaStateLW_STEM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_SigSci_TS,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
FH_BPagano_RtDriven,0.0,0.9518066666666666,1.508893333333332,0.54924,0.6138200000000001,0.59384,0.6504166666666664,0.6714900000000003,0.6546366666666669,0.5538933333333332,0.6687866666666664,0.7195149999999999,0.5602233333333334,0.5717633333333333,0.7860159999999997,1.03739,0.5000533333333332,0.8822999999999998,0.6495799999999998,0.572768,0.4657666666666666,0.813786666666667,0.5903999999999996,0.5754566666666666,0.5031499999999999,0.5211499999999997,0.7725600000000001,0.6627366666666665,1.0461933333333324,0.6968666666666664,0.7226349999999998,0.7949200000000001,0.53787,0.67254
FH_CEID_Walk,0.9518066666666666,0.0,1.061326666666666,0.8195333333333331,0.9194733333333331,0.9194099999999992,0.944923333333334,0.9049366666666668,0.9076100000000005,0.9752833333333336,0.9528166666666662,0.8828000000000007,0.942116666666667,0.8673233333333333,0.9614479999999995,0.8363833333333333,0.9337899999999997,0.8215566666666668,0.7841600000000001,0.9095879999999994,0.9518200000000001,0.8925099999999996,0.8907000000000003,0.8788600000000006,0.886233333333333,0.9405699999999996,0.9380200000000003,0.950186666666667,0.9397999999999994,0.9089866666666669,0.9359500000000002,0.9059133333333336,0.9432233333333336,0.8924733333333333
FH_COVIDhub_baseline,1.508893333333332,1.061326666666666,0.0,1.3022966666666673,1.434173333333333,1.4531466666666661,1.382683333333332,1.3744766666666681,1.3880433333333337,1.4830933333333314,1.5485466666666647,1.5366750000000018,1.552293333333334,1.3403833333333308,1.6121640000000004,0.766006666666667,1.4719966666666646,1.1701999999999995,1.2300833333333332,1.3752279999999992,1.490746666666664,1.3776533333333334,1.3001999999999998,1.3089566666666665,1.4709199999999991,1.6165133333333346,1.5831999999999993,1.5087400000000002,0.6059733333333335,1.4395333333333329,1.5704650000000009,1.3988699999999976,1.5735233333333345,1.4686333333333323
FH_COVIDhub_ensemble,0.54924,0.8195333333333331,1.3022966666666673,0.0,0.5196266666666666,0.5063000000000003,0.5036399999999999,0.6184066666666669,0.5247933333333333,0.47740333333333346,0.5151700000000001,0.8222,0.7028400000000002,0.40845000000000037,0.8814319999999995,0.7000033333333332,0.42154999999999987,0.9143099999999996,0.7483766666666664,0.4585280000000002,0.7230266666666665,0.8760933333333333,0.6146200000000006,0.43410999999999994,0.6014733333333333,0.5980566666666665,0.75946,0.4558033333333333,0.8555733333333331,0.4863733333333334,0.8612800000000004,0.8599499999999999,0.43435333333333354,0.4467233333333336
FH_CU_nochange,0.6138200000000001,0.9194733333333331,1.434173333333333,0.5196266666666666,0.0,0.12094000000000006,0.14599666666666666,0.1868566666666667,0.1376333333333333,0.6026000000000002,0.6232833333333334,0.80871,0.7348766666666661,0.5812833333333333,0.7876400000000001,0.9408966666666668,0.5999400000000004,0.8663366666666668,0.7511633333333332,0.6760679999999996,0.6524466666666662,0.7521999999999998,0.6392000000000002,0.5738100000000003,0.5564500000000006,0.683013333333333,0.7913400000000002,0.6055899999999999,0.9033866666666666,0.6589733333333332,0.8130949999999997,0.8480066666666666,0.6187766666666665,0.4565566666666669
FH_CU_scenario_high,0.59384,0.9194099999999992,1.4531466666666661,0.5063000000000003,0.12094000000000006,0.0,0.21628666666666654,0.2620633333333334,0.17527999999999994,0.5811533333333329,0.62193,0.8055149999999998,0.7410633333333335,0.5768666666666663,0.7765760000000003,0.9686099999999999,0.5871533333333337,0.8985466666666672,0.7219833333333335,0.6581440000000007,0.6478599999999994,0.7253333333333336,0.6401866666666671,0.5871300000000002,0.576846666666667,0.6397033333333333,0.76388,0.6056699999999998,0.9302733333333333,0.660016666666666,0.78927,0.7960600000000003,0.643196666666667,0.47181333333333336
FH_CU_scenario_low,0.6504166666666664,0.944923333333334,1.382683333333332,0.5036399999999999,0.14599666666666666,0.21628666666666654,0.0,0.2007066666666667,0.09849000000000001,0.5881800000000003,0.591243333333333,0.8591749999999998,0.7183566666666669,0.5813166666666664,0.8391320000000007,0.8437066666666673,0.5940366666666663,0.8867933333333332,0.8073533333333329,0.6592480000000001,0.6977633333333328,0.7701600000000003,0.6439166666666668,0.5726099999999997,0.6321533333333333,0.7188033333333332,0.8616600000000002,0.5597333333333335,0.8855466666666657,0.6321033333333336,0.8732000000000002,0.8705900000000003,0.6061200000000007,0.40384000000000025
FH_CU_scenario_mid,0.6714900000000003,0.9049366666666668,1.3744766666666681,0.6184066666666669,0.1868566666666667,0.2620633333333334,0.2007066666666667,0.0,0.10221666666666664,0.7211199999999995,0.7748233333333332,0.8306049999999995,0.77803,0.6572500000000002,0.8528440000000003,0.96858,0.6724466666666662,0.8021433333333328,0.7584933333333334,0.7375319999999999,0.6253599999999998,0.6542900000000005,0.6022033333333332,0.6885666666666663,0.5696033333333335,0.7304933333333331,0.6845200000000001,0.7465666666666667,0.9001766666666665,0.8017400000000003,0.872365,0.8005866666666668,0.7228766666666672,0.5515133333333335
FH_CU_select,0.6546366666666669,0.9076100000000005,1.3880433333333337,0.5247933333333333,0.1376333333333333,0.17527999999999994,0.09849000000000001,0.10221666666666664,0.0,0.6361566666666666,0.6681699999999997,0.8227949999999998,0.751223333333333,0.5935566666666664,0.8528320000000007,0.91977,0.6320633333333338,0.845443333333333,0.7883166666666663,0.6839999999999999,0.706943333333333,0.7060966666666667,0.6213666666666667,0.6199433333333332,0.6126866666666667,0.7078499999999999,0.6845200000000001,0.6293066666666669,0.9011999999999993,0.7016433333333336,0.854165,0.8392899999999996,0.6579600000000008,0.45791333333333334
FH_Covid19Sim_Simulator,0.5538933333333332,0.9752833333333336,1.4830933333333314,0.47740333333333346,0.6026000000000002,0.5811533333333329,0.5881800000000003,0.7211199999999995,0.6361566666666666,0.0,0.41003333333333325,0.7820099999999998,0.6101866666666668,0.6344266666666668,0.790308,0.7811199999999993,0.4748733333333332,1.0441666666666665,0.8175866666666675,0.6344800000000002,0.6919366666666671,0.9941166666666661,0.7656933333333331,0.4516633333333333,0.6842533333333328,0.6349633333333331,0.84478,0.38590666666666695,1.0402466666666654,0.4117166666666669,0.6557949999999999,0.8508300000000003,0.5139699999999997,0.5045266666666665
