,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IUPUI_HkPrMobiDyR,FH_IowaStateLW_STEM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_MUNI_ARIMA,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_SigSci_TS,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
COVID_Hub_Trained_Ensemble,0.0,0.23263999999999999,0.8460500000000003,1.2903999999999995,0.19682999999999992,0.0,0.30155999999999994,0.4503999999999999,0.26289000000000007,0.2787799999999999,0.2787799999999999,0.41375999999999974,0.24792999999999996,0.6460200000000004,0.77168,0.6536799999999999,,0.2622600000000001,0.15368000000000007,0.60718,0.4715200000000002,0.55535,0.20753,0.5392299999999998,0.16279000000000005,0.8760899999999999,0.4254100000000001,0.87204,0.3446,0.36666000000000004,0.22241,,0.35873,0.6268699999999998,0.8466499999999997,0.31639,0.19890999999999998
FH_BPagano_RtDriven,0.23263999999999999,0.0,0.9634366666666668,1.4855833333333321,0.5165880000000002,0.23263999999999999,0.615476666666666,0.6262133333333331,0.5913833333333339,0.6175566666666661,0.634146666666666,0.5720699999999999,0.66907,0.6127133333333332,0.7510766666666668,0.7615200000000002,1.0201949999999997,0.4469233333333336,0.41909666666666706,0.4075466666666668,0.5871966666666666,0.5231600000000001,0.32853666666666703,0.6513466666666666,0.37692000000000037,0.8753799999999999,0.62365,0.5211239999999998,0.42582000000000003,0.4868400000000001,0.6477599999999999,1.0282799999999996,0.8221399999999994,0.52475,0.6987933333333329,0.49327333333333323,0.6446199999999992
FH_CEID_Walk,0.8460500000000003,0.9634366666666668,0.0,0.9961999999999995,0.9267800000000002,0.8460500000000003,0.9792699999999996,0.965613333333334,1.0114900000000002,0.9588866666666672,0.9582833333333339,0.9842099999999997,1.0320499999999995,0.9995566666666675,0.8922166666666671,0.9511949999999995,0.8815350000000001,1.027136666666667,0.8875466666666667,0.913056666666666,0.9509666666666667,0.8828099999999998,1.0075499999999997,0.914573333333333,0.9294766666666664,0.78803,0.8260966666666664,0.902816,1.0150599999999999,0.9665280000000003,1.0095399999999997,0.8716099999999996,0.9304399999999998,0.9600799999999998,0.917976666666667,0.9845833333333335,1.0095799999999995
FH_COVIDhub_baseline,1.2903999999999995,1.4855833333333321,0.9961999999999995,0.0,1.337299999999999,1.2903999999999995,1.432596666666666,1.4660833333333336,1.4706166666666658,1.3999499999999994,1.3962433333333326,1.4746333333333335,1.5521533333333326,1.5356566666666673,1.1706466666666668,1.6272300000000002,1.21453,1.5089300000000003,1.2146899999999994,1.427469999999999,1.3564766666666659,1.6584600000000003,1.484139999999999,1.2686700000000002,1.3333466666666665,1.32297,1.13465,1.4751559999999984,1.26046,1.607115999999999,1.5105766666666662,0.6214200000000001,1.1731166666666668,1.4976899999999995,1.3274499999999991,1.5979866666666664,1.5277566666666647
FH_COVIDhub_ensemble,0.19682999999999992,0.5165880000000002,0.9267800000000002,1.337299999999999,0.0,0.19682999999999992,0.4987240000000002,0.523408,0.43183200000000005,0.4991720000000001,0.4745760000000001,0.5356080000000002,0.46039200000000013,0.785436,0.6991080000000002,0.8303749999999998,0.7065466666666669,0.37262399999999996,0.5166920000000002,0.7352519999999989,0.5373440000000003,0.45977,0.5271400000000003,0.6418400000000005,0.43700000000000017,0.8358700000000002,0.4890400000000004,0.7297599999999999,0.36744000000000016,0.7225650000000001,0.3831600000000004,0.8092000000000003,0.560388,0.52172,0.76746,0.41424400000000045,0.4135840000000002
FH_COVIDhub_trained_ensemble,0.0,0.23263999999999999,0.8460500000000003,1.2903999999999995,0.19682999999999992,0.0,0.30155999999999994,0.4503999999999999,0.26289000000000007,0.2787799999999999,0.2787799999999999,0.41375999999999974,0.24792999999999996,0.6460200000000004,0.77168,0.6536799999999999,,0.2622600000000001,0.15368000000000007,0.60718,0.4715200000000002,0.55535,0.20753,0.5392299999999998,0.16279000000000005,0.8760899999999999,0.4254100000000001,0.87204,0.3446,0.36666000000000004,0.22241,,0.35873,0.6268699999999998,0.8466499999999997,0.31639,0.19890999999999998
FH_CU_nochange,0.30155999999999994,0.615476666666666,0.9792699999999996,1.432596666666666,0.4987240000000002,0.30155999999999994,0.0,0.22834000000000013,0.16473666666666661,0.10679333333333335,0.08983666666666668,0.6429200000000002,0.4961500000000001,0.7143833333333333,0.7934499999999995,0.7089049999999996,0.6571850000000005,0.5232733333333336,0.5817966666666666,0.6695200000000002,0.6772866666666661,0.5378999999999998,0.5183800000000002,0.6413533333333341,0.5100133333333337,0.8627500000000003,0.5494300000000003,0.8179640000000002,0.4979399999999998,0.7339439999999998,0.4662533333333335,0.9261499999999999,0.6395300000000002,0.5479,0.8208466666666666,0.50988,0.39493666666666694
FH_CU_scenario_high,0.4503999999999999,0.6262133333333331,0.965613333333334,1.4660833333333336,0.523408,0.4503999999999999,0.22834000000000013,0.0,0.36714666666666684,0.2756466666666667,0.23362333333333343,0.6679733333333334,0.5740066666666667,0.7060766666666666,0.6765500000000004,0.6900800000000004,0.74882,0.5840833333333331,0.6618199999999994,0.571663333333333,0.6445699999999995,0.4320299999999998,0.5491800000000001,0.6062166666666666,0.5560033333333336,0.8306100000000001,0.6173466666666659,0.7542200000000001,0.5477399999999999,0.6345240000000001,0.5556266666666669,0.9860000000000003,0.7292099999999996,0.5175900000000001,0.7291899999999991,0.5751000000000001,0.4895033333333336
FH_CU_scenario_low,0.26289000000000007,0.5913833333333339,1.0114900000000002,1.4706166666666658,0.43183200000000005,0.26289000000000007,0.16473666666666661,0.36714666666666684,0.0,0.17405333333333356,0.14095000000000024,0.5808766666666666,0.3559333333333335,0.6671499999999995,0.8777733333333333,0.71332,0.5308250000000004,0.43060333333333367,0.5699933333333334,0.7266199999999997,0.6661533333333326,0.5471299999999998,0.5031533333333331,0.7015699999999996,0.504376666666666,0.9043200000000001,0.5017333333333335,0.8603559999999997,0.44434000000000007,0.787916,0.3174966666666671,1.0009500000000002,0.5215466666666672,0.5172800000000001,0.8411933333333333,0.45117333333333365,0.2764600000000003
FH_CU_scenario_mid,0.2787799999999999,0.6175566666666661,0.9588866666666672,1.3999499999999994,0.4991720000000001,0.2787799999999999,0.10679333333333335,0.2756466666666667,0.17405333333333356,0.0,0.03310333333333333,0.6743866666666664,0.5282366666666664,0.685216666666667,0.7952066666666664,0.7598050000000001,0.6875200000000001,0.5387066666666667,0.5399533333333332,0.6771199999999998,0.682323333333333,0.5748399999999999,0.48139999999999994,0.6020266666666664,0.5009166666666667,0.8841900000000003,0.5650933333333332,0.8427319999999999,0.4414799999999999,0.7496440000000004,0.4896666666666666,0.9507500000000003,0.6399699999999999,0.5391199999999998,0.8127333333333331,0.5179266666666668,0.3999633333333333
