,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_MUNI_ARIMA,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
COVID_Hub_Trained_Ensemble,0.0,0.4316900000000002,0.6829999999999999,0.9242866666666661,0.21742666666666666,0.0,0.34116666666666673,0.3952100000000001,0.2768666666666667,0.32830333333333345,0.32230000000000014,0.394208,0.38787,0.9598319999999999,0.28784999999999994,0.35282333333333354,0.3522,0.41372,0.45551666666666724,0.4195439999999999,0.3237466666666666,0.5007133333333329,0.042519999999999995,0.6048000000000002,0.36245599999999983,0.35371666666666685,0.41862000000000016,0.8870799999999993,0.3580766666666667,0.54368,0.9620800000000003,1.0816500000000004,0.45153,0.3301933333333336
FH_BPagano_RtDriven,0.4316900000000002,0.0,0.8343866666666667,1.0854200000000005,0.40339666666666657,0.45259000000000005,0.5426233333333339,0.6065199999999997,0.5069899999999999,0.5828500000000006,0.5775400000000003,0.4112040000000002,0.44928666666666656,0.9186360000000001,0.48810333333333344,0.4816566666666668,0.49652666666666667,0.5048600000000003,0.6159366666666667,0.4963200000000001,0.5016866666666664,0.7713066666666667,0.09533999999999994,0.6041166666666663,0.49745999999999985,0.41898000000000013,0.6074400000000001,0.901496666666667,0.4677333333333334,0.5541133333333331,0.9571840000000008,1.0811833333333332,0.48298999999999986,0.5324633333333334
FH_CEID_Walk,0.6829999999999999,0.8343866666666667,0.0,0.6073000000000002,0.7003200000000004,0.6612299999999999,0.7416566666666665,0.77095,0.724913333333333,0.6735600000000003,0.6926566666666674,0.8085159999999998,0.7845599999999996,0.9054040000000001,0.6742233333333333,0.8412366666666669,0.6861333333333336,0.820283333333333,0.8124099999999995,0.8665040000000003,0.8127466666666672,0.6618366666666664,0.7559200000000001,0.8349166666666666,0.6069320000000007,0.8452899999999999,0.7056566666666666,1.0358900000000004,0.754706666666666,0.8977266666666665,0.89154,0.9270366666666671,0.9021166666666668,0.7761733333333328
FH_COVIDhub_baseline,0.9242866666666661,1.0854200000000005,0.6073000000000002,0.0,0.9810799999999996,0.9062199999999997,0.919393333333333,0.9734733333333336,0.9240566666666669,0.7937066666666663,0.8139699999999997,1.0939799999999995,1.0299833333333326,1.1468919999999996,0.8567466666666667,1.106706666666666,0.9141433333333331,1.100543333333333,1.0794066666666673,1.2064519999999996,1.0517166666666666,0.7339666666666675,1.11564,1.060503333333333,0.7096440000000004,1.1821433333333324,0.8920400000000003,1.4502266666666663,1.0109399999999993,1.1419766666666669,1.2122759999999992,0.9291466666666666,1.2529233333333334,1.0704433333333323
FH_COVIDhub_ensemble,0.21742666666666666,0.40339666666666657,0.7003200000000004,0.9810799999999996,0.0,0.24521500000000004,0.4539433333333334,0.5411366666666668,0.38043999999999983,0.4973366666666669,0.4899200000000002,0.248112,0.24293,0.9615280000000005,0.31847666666666685,0.2741666666666667,0.4062166666666666,0.3580966666666666,0.3699800000000001,0.44722,0.4268633333333336,0.6949799999999995,0.05311999999999999,0.5198566666666666,0.30529599999999996,0.19127666666666673,0.41535333333333296,0.9417166666666661,0.2249066666666667,0.33306,0.9501360000000002,1.09753,0.3232433333333335,0.35125333333333336
FH_COVIDhub_trained_ensemble,0.0,0.45259000000000005,0.6612299999999999,0.9062199999999997,0.24521500000000004,0.0,0.361915,0.43082999999999994,0.2945800000000002,0.36008500000000004,0.3510800000000003,0.36812666666666677,0.41794499999999984,0.9779800000000002,0.282095,0.34303499999999976,0.3636099999999998,0.4311050000000002,0.48475,0.390715,0.33956,0.5238049999999997,,0.6797000000000003,0.3888199999999999,0.362875,0.43667999999999985,0.9414999999999992,0.37766500000000014,0.5676400000000001,1.0058199999999993,1.0625699999999996,0.47736500000000004,0.35910000000000025
FH_CU_nochange,0.34116666666666673,0.5426233333333339,0.7416566666666665,0.919393333333333,0.4539433333333334,0.361915,0.0,0.11754,0.09537000000000001,0.07457000000000001,0.07322333333333332,0.6343119999999999,0.59442,0.8978799999999998,0.3788066666666667,0.5073766666666666,0.4197233333333333,0.5506333333333334,0.6180200000000001,0.512612,0.35185999999999995,0.5175933333333333,0.20959999999999998,0.6262433333333333,0.44982399999999995,0.5286266666666667,0.5172066666666663,0.88809,0.5683266666666669,0.7595933333333329,0.952348,0.9695900000000004,0.5934500000000004,0.45216333333333325
FH_CU_scenario_high,0.3952100000000001,0.6065199999999997,0.77095,0.9734733333333336,0.5411366666666668,0.43082999999999994,0.11754,0.0,0.24562000000000012,0.14757999999999985,0.1563966666666666,0.7096079999999998,0.6811266666666668,0.879188,0.4597566666666668,0.5683666666666667,0.4521399999999998,0.564476666666667,0.6647366666666666,0.5759040000000002,0.35513333333333374,0.4761699999999998,0.27018000000000003,0.6237866666666663,0.5197679999999998,0.6061866666666667,0.5599733333333332,0.7704900000000007,0.6726266666666665,0.8665633333333329,0.9053520000000004,0.9336233333333337,0.6626866666666668,0.5006366666666667
FH_CU_scenario_low,0.2768666666666667,0.5069899999999999,0.724913333333333,0.9240566666666669,0.38043999999999983,0.2945800000000002,0.09537000000000001,0.24562000000000012,0.0,0.12326666666666673,0.10435666666666664,0.5404759999999998,0.5030000000000001,0.9003240000000008,0.3407166666666669,0.44741999999999993,0.38163666666666674,0.4973733333333332,0.5623500000000001,0.44488,0.37541666666666673,0.55723,0.16573999999999997,0.634113333333333,0.3919880000000001,0.4484366666666666,0.4688833333333334,0.9465966666666668,0.4669766666666668,0.6514733333333331,0.9744080000000005,0.9933466666666659,0.5328999999999998,0.40952666666666643
FH_CU_scenario_mid,0.32830333333333345,0.5828500000000006,0.6735600000000003,0.7937066666666663,0.4973366666666669,0.36008500000000004,0.07457000000000001,0.14757999999999985,0.12326666666666673,0.0,0.01891,0.6869479999999999,0.6457733333333338,0.8778799999999997,0.35438666666666685,0.5670433333333336,0.40628333333333344,0.5842833333333337,0.6423499999999999,0.5534800000000005,0.36657999999999996,0.4558066666666665,0.20541999999999994,0.6739700000000003,0.456384,0.6082666666666663,0.5067733333333332,0.9448966666666672,0.6033300000000003,0.82893,0.9578840000000003,0.9394833333333332,0.6790266666666669,0.4737033333333332
FH_CU_select,0.32230000000000014,0.5775400000000003,0.6926566666666674,0.8139699999999997,0.4899200000000002,0.3510800000000003,0.07322333333333332,0.1563966666666666,0.10435666666666664,0.01891,0.0,0.6869479999999999,0.6292066666666667,0.8782920000000003,0.3658200000000003,0.5569133333333337,0.41960666666666685,0.5951266666666667,0.6424999999999998,0.5280920000000003,0.3768233333333333,0.4756833333333333,0.20541999999999994,0.6516433333333334,0.44441600000000003,0.6010066666666664,0.5013966666666667,0.9394666666666668,0.5886366666666669,0.8078733333333331,0.9555840000000001,0.9431666666666658,0.6490433333333333,0.4734466666666666
FH_Covid19Sim_Simulator,0.394208,0.4112040000000002,0.8085159999999998,1.0939799999999995,0.248112,0.36812666666666677,0.6343119999999999,0.7096079999999998,0.5404759999999998,0.6869479999999999,0.6869479999999999,0.0,0.16278800000000004,0.9364749999999995,0.446296,0.2821120000000001,0.5094520000000002,0.3574440000000001,0.4721359999999998,0.4460350000000001,0.5262079999999999,0.8426039999999994,0.21059999999999998,0.5247079999999998,0.3524000000000001,0.17015200000000005,0.553188,1.042416,0.16770800000000008,0.25259200000000004,1.000695,1.1869599999999998,0.3097280000000002,0.45645199999999997
FH_CovidAnalytics_DELPHI,0.38787,0.44928666666666656,0.7845599999999996,1.0299833333333326,0.24293,0.41794499999999984,0.59442,0.6811266666666668,0.5030000000000001,0.6457733333333338,0.6292066666666667,0.16278800000000004,0.0,0.9384520000000002,0.43929,0.3227366666666667,0.5753633333333331,0.3808666666666666,0.4181800000000001,0.5050319999999998,0.581836666666667,0.8208000000000005,0.10826000000000001,0.5158,0.309632,0.2212033333333333,0.5431000000000004,1.0318499999999986,0.1335133333333334,0.26418000000000014,0.9356400000000004,1.1131600000000001,0.2950733333333333,0.47273666666666664
