,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_COVIDhub_4_week_ensemble,FH_COVIDhub_CDC_ensemble,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IHME_CurveFit,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_MUNI_ARIMA,FH_MUNI_VAR,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
COVID_Hub_Trained_Ensemble,0.0,0.41473000000000004,0.3001100000000001,0.24445999999999996,1.4252099999999992,0.3001100000000001,0.0,0.3990800000000004,0.5098133333333337,0.37665000000000004,0.3756633333333333,0.56771,0.8312999999999999,0.5196,0.34931999999999985,0.42883333333333307,0.38087000000000015,0.45721500000000004,0.41974000000000017,0.4464700000000003,0.637985,0.3666466666666668,0.38757,0.3825633333333333,0.49776000000000026,0.46575500000000003,0.5794100000000002,0.6038300000000001,0.7668200000000001,0.5132766666666668,0.44345999999999997
FH_BPagano_RtDriven,0.41473000000000004,0.0,0.4394966666666668,0.40156000000000014,1.473509999999998,0.4394966666666668,0.41473000000000004,0.5834866666666667,0.7162500000000003,0.595493333333333,0.5146000000000003,0.6128466666666669,0.7995066666666656,0.33742333333333346,0.41065999999999997,0.5063533333333333,0.3432733333333337,0.4704249999999996,0.2524566666666667,0.4819166666666666,0.6287050000000002,0.2339,0.15447,0.5398533333333335,0.5451600000000001,0.42743000000000037,0.6261366666666663,0.7237699999999997,0.7647099999999993,0.6277033333333336,0.6193966666666672
FH_COVIDhub_4_week_ensemble,0.3001100000000001,0.4394966666666668,0.0,0.0,1.4071733333333336,0.0,0.3001100000000001,0.56592,0.6178466666666667,0.5857633333333333,0.6319033333333335,0.33257999999999993,0.9566133333333331,0.5083000000000004,0.44912000000000013,0.44684333333333315,0.3636166666666668,0.35052000000000016,0.4002199999999999,0.3266366666666667,0.4863650000000002,0.12471333333333334,0.13357999999999998,0.4613433333333333,0.60085,0.5444399999999998,0.33712000000000014,0.40242666666666677,0.87899,0.39152000000000003,0.5313333333333333
FH_COVIDhub_CDC_ensemble,0.24445999999999996,0.40156000000000014,0.0,0.0,1.41382,0.0,0.24445999999999996,0.7221799999999999,0.7647799999999999,0.67366,0.67366,0.50444,0.95202,0.54928,,0.5936399999999998,0.4504200000000001,,0.36188,0.4319000000000002,,,,0.58264,0.6196200000000001,0.48459999999999986,0.48707999999999985,0.5277000000000001,,0.44815999999999995,0.5316200000000001
FH_COVIDhub_baseline,1.4252099999999992,1.473509999999998,1.4071733333333336,1.41382,0.0,1.4071733333333336,1.4252099999999992,1.5032233333333331,1.4874633333333336,1.4263899999999998,1.4719266666666664,1.5329566666666663,1.5480466666666677,1.4633366666666652,1.4616200000000004,1.500453333333332,1.4421333333333328,1.4036500000000003,1.5865500000000008,1.5377433333333306,1.4348300000000003,1.270566666666667,1.5607599999999988,1.3991899999999993,1.4714800000000008,1.680275000000001,1.5206533333333307,1.4085966666666638,1.409275000000001,1.4296299999999997,1.4842966666666642
FH_COVIDhub_ensemble,0.3001100000000001,0.4394966666666668,0.0,0.0,1.4071733333333336,0.0,0.3001100000000001,0.56592,0.6178466666666667,0.5857633333333333,0.6319033333333335,0.33257999999999993,0.9566133333333331,0.5083000000000004,0.44912000000000013,0.44684333333333315,0.3636166666666668,0.35052000000000016,0.4002199999999999,0.3266366666666667,0.4863650000000002,0.12471333333333334,0.13357999999999998,0.4613433333333333,0.60085,0.5444399999999998,0.33712000000000014,0.40242666666666677,0.87899,0.39152000000000003,0.5313333333333333
FH_COVIDhub_trained_ensemble,0.0,0.41473000000000004,0.3001100000000001,0.24445999999999996,1.4252099999999992,0.3001100000000001,0.0,0.3990800000000004,0.5098133333333337,0.37665000000000004,0.3756633333333333,0.56771,0.8312999999999999,0.5196,0.34931999999999985,0.42883333333333307,0.38087000000000015,0.45721500000000004,0.41974000000000017,0.4464700000000003,0.637985,0.3666466666666668,0.38757,0.3825633333333333,0.49776000000000026,0.46575500000000003,0.5794100000000002,0.6038300000000001,0.7668200000000001,0.5132766666666668,0.44345999999999997
FH_CU_nochange,0.3990800000000004,0.5834866666666667,0.56592,0.7221799999999999,1.5032233333333331,0.56592,0.3990800000000004,0.0,0.15012666666666685,0.12750000000000003,0.21462666666666658,0.6924599999999999,0.6995433333333332,0.6592233333333335,0.6717400000000001,0.46710000000000035,0.56883,0.6450149999999999,0.5837333333333333,0.519846666666667,0.677455,0.5098933333333335,0.47179000000000004,0.4606600000000001,0.5828949999999998,0.5348349999999997,0.7160033333333341,0.7513500000000005,0.66124,0.6710266666666662,0.4902633333333333
FH_CU_scenario_low,0.5098133333333337,0.7162500000000003,0.6178466666666667,0.7647799999999999,1.4874633333333336,0.6178466666666667,0.5098133333333337,0.15012666666666685,0.0,0.1933066666666667,0.27854000000000007,0.7004833333333333,0.7258666666666662,0.7131333333333337,0.6999200000000001,0.57899,0.6600433333333333,0.6465850000000002,0.7188299999999999,0.5922266666666666,0.6813450000000004,0.6040133333333335,0.6231799999999997,0.5433899999999999,0.650005,0.6891750000000002,0.7335333333333337,0.7532033333333331,0.686345,0.6634866666666661,0.44812666666666673
FH_CU_scenario_mid,0.37665000000000004,0.595493333333333,0.5857633333333333,0.67366,1.4263899999999998,0.5857633333333333,0.37665000000000004,0.12750000000000003,0.1933066666666667,0.0,0.10444000000000006,0.7814800000000001,0.7057600000000002,0.6324466666666657,0.5577199999999999,0.4735900000000004,0.5791733333333333,0.658815,0.6185200000000001,0.57884,0.7521550000000004,0.5822800000000001,0.62832,0.4538366666666667,0.5848600000000002,0.5712600000000003,0.7933566666666656,0.8142366666666664,0.6852050000000002,0.6943266666666668,0.5054866666666663
