,0
2020-08-23,3499.0178571428573
2020-08-30,3036.890909090909
2020-09-06,2543.589285714286
2020-09-13,1987.482142857143
2020-09-20,1662.4642857142858
2020-09-27,1860.0714285714287
2020-10-04,1659.5357142857142
2020-10-11,2033.3035714285713
2020-10-18,3555.785714285714
2020-10-25,4436.535714285715
2020-11-01,5771.821428571428
2020-11-08,9275.357142857143
2020-11-15,13202.785714285714
2020-11-22,14998.214285714286
2020-11-29,12855.92857142857
2020-12-06,14255.0
2020-12-13,13959.92857142857
2020-12-20,17393.980392156864
2020-12-27,14786.313725490196
2021-01-03,13001.803921568628
2021-01-10,9557.843137254902
2021-01-17,7576.294117647059
2021-01-24,8812.980392156862
2021-01-31,7073.666666666667
2021-02-07,9724.745098039215
2021-02-14,20094.76923076923
2021-02-21,19661.69230769231
2021-02-28,10451.235294117647
2021-03-07,6887.9607843137255
2021-03-14,4225.928571428572
2021-03-21,2747.4117647058824
2021-03-28,3524.372549019608
2021-04-04,3763.2549019607845
2021-04-11,3807.5882352941176
2021-04-18,3915.1176470588234
2021-04-25,1815.450980392157
2021-05-02,2458.4901960784314
2021-05-09,3747.2156862745096
2021-05-16,5103.64705882353
2021-05-23,5530.32
2021-05-30,3646.9
2021-06-06,2779.921568627451
2021-06-13,1736.3921568627452
2021-06-20,1151.4901960784314
2021-06-27,854.156862745098
2021-07-04,853.4313725490196
2021-07-11,1640.1764705882354
2021-07-18,3121.450980392157
2021-07-25,5948.294117647059
2021-08-01,9570.882352941177
2021-08-08,13555.509803921568
2021-08-15,15267.803921568628
2021-08-22,15071.156862745098
2021-08-29,11575.627450980392
2021-09-05,10321.529411764706
2021-09-12,5932.450980392156
2021-09-19,6045.529411764706
2021-09-26,7415.862745098039
2021-10-03,6558.470588235294
2021-10-10,7677.0392156862745
2021-10-17,5071.274509803921
2021-10-24,5640.705882352941
2021-10-31,3482.9411764705883
2021-11-07,2486.6666666666665
2021-11-14,3267.450980392157
2021-11-21,5244.803921568628
2021-11-28,4620.0
2021-12-05,9559.470588235294
2021-12-12,8272.549019607843
2021-12-19,7755.862745098039
2021-12-26,15918.607843137255
2022-01-02,45498.21568627451
2022-01-09,82212.8431372549
2022-01-16,92206.35294117648
2022-01-23,79959.41176470589
2022-01-30,48637.96078431373
2022-02-06,45403.529411764706
2022-02-13,47314.13725490196
2022-02-20,65004.8431372549
2022-02-27,40170.23529411765
2022-03-06,26568.313725490196
2022-03-13,6682.64705882353
2022-03-20,2405.6666666666665
2022-03-27,2201.627450980392
2022-04-03,2293.372549019608
2022-04-10,2829.607843137255
2022-04-17,2871.7843137254904
2022-04-24,4219.764705882353
2022-05-01,4361.470588235294
2022-05-08,6122.333333333333
2022-05-15,7069.058823529412
2022-05-22,10535.274509803921
2022-05-29,7160.490196078431
2022-06-05,7231.35294117647
2022-06-12,6353.745098039216
2022-06-19,5331.303571428572
2022-06-26,5028.078431372549
2022-07-03,5128.921568627451
2022-07-10,4283.392156862745
2022-07-17,6736.882352941177
2022-07-24,6279.862745098039
2022-07-31,6176.921568627451
2022-08-07,3509.9411764705883
2022-08-14,4155.313725490196
2022-08-21,6500.333333333333
2022-08-28,5288.117647058823
2022-09-04,3896.0588235294117
2022-09-11,5244.980392156863
2022-09-18,4852.686274509804
2022-09-25,3788.3137254901962
2022-10-02,4137.019607843137
2022-10-09,3999.549019607843
2022-10-16,3113.529411764706
2022-10-23,2793.549019607843
2022-10-30,2784.529411764706
2022-11-06,1908.0588235294117
2022-11-13,1660.8235294117646
2022-11-20,1760.9019607843138
2022-11-27,2258.8039215686276
2022-12-04,3175.0588235294117
2022-12-11,3146.4313725490197
2022-12-18,3455.8823529411766
2022-12-25,4004.8039215686276
2023-01-01,3004.921568627451
2023-01-08,3893.160714285714
2023-01-15,4400.725490196079
2023-01-22,4028.5
2023-01-29,4684.2962962962965
2023-02-05,2676.4285714285716
