,0
2020-08-23,3523.214285714286
2020-08-30,3827.2727272727275
2020-09-06,3417.6964285714284
2020-09-13,2802.839285714286
2020-09-20,2451.4285714285716
2020-09-27,2023.125
2020-10-04,1891.625
2020-10-11,2143.5535714285716
2020-10-18,2849.0
2020-10-25,3827.160714285714
2020-11-01,4787.035714285715
2020-11-08,8537.67857142857
2020-11-15,12380.80357142857
2020-11-22,14594.82142857143
2020-11-29,12734.732142857143
2020-12-06,14831.267857142857
2020-12-13,15199.767857142857
2020-12-20,17116.764705882353
2020-12-27,14560.862745098038
2021-01-03,14689.137254901962
2021-01-10,13309.549019607843
2021-01-17,10634.843137254902
2021-01-24,9107.0
2021-01-31,8136.156862745098
2021-02-07,11450.882352941177
2021-02-14,20119.05769230769
2021-02-21,20984.96153846154
2021-02-28,14709.411764705883
2021-03-07,12394.549019607843
2021-03-14,8422.92857142857
2021-03-21,6004.019607843137
2021-03-28,4060.6470588235293
2021-04-04,4124.764705882353
2021-04-11,3561.764705882353
2021-04-18,3430.078431372549
2021-04-25,2281.9607843137255
2021-05-02,2629.725490196078
2021-05-09,3399.4117647058824
2021-05-16,5044.3725490196075
2021-05-23,5994.56
2021-05-30,5307.14
2021-06-06,4740.0
2021-06-13,3788.176470588235
2021-06-20,3109.8627450980393
2021-06-27,2093.0
2021-07-04,1561.5882352941176
2021-07-11,1271.1176470588234
2021-07-18,2484.098039215686
2021-07-25,5513.745098039216
2021-08-01,9173.588235294117
2021-08-08,13366.450980392157
2021-08-15,15137.0
2021-08-22,16113.862745098038
2021-08-29,14160.960784313726
2021-09-05,12351.019607843138
2021-09-12,8387.35294117647
2021-09-19,7956.21568627451
2021-09-26,8790.078431372549
2021-10-03,9530.686274509804
2021-10-10,11484.450980392157
2021-10-17,10015.941176470587
2021-10-24,10520.64705882353
2021-10-31,7438.431372549019
2021-11-07,6201.137254901961
2021-11-14,4027.2549019607845
2021-11-21,4945.509803921569
2021-11-28,4407.725490196079
2021-12-05,7723.196078431372
2021-12-12,7389.843137254902
2021-12-19,7763.9607843137255
2021-12-26,16804.86274509804
2022-01-02,45606.33100536888
2022-01-09,79381.62745098039
2022-01-16,93207.86263906756
2022-01-23,80633.9404740616
2022-01-30,52246.74509803922
2022-02-06,33121.294117647056
2022-02-13,70424.66666666667
2022-02-20,96216.74509803922
2022-02-27,89213.27450980392
2022-03-06,65772.6862745098
2022-03-13,38066.03921568627
2022-03-20,21015.352941176472
2022-03-27,10925.411764705883
2022-04-03,5967.921568627451
2022-04-10,3832.1372549019607
2022-04-17,2962.509753675968
2022-04-24,3694.7400965676325
2022-05-01,4746.725188477375
2022-05-08,6514.625690717692
2022-05-15,7429.6274509803925
2022-05-22,10880.445456856529
2022-05-29,7584.588235294118
2022-06-05,7989.133401579114
2022-06-12,6853.019552548466
2022-06-19,7103.57032034606
2022-06-26,7940.882207792665
2022-07-03,6649.470588235294
2022-07-10,5997.979174105467
2022-07-17,5883.529411764706
2022-07-24,6130.705882352941
2022-07-31,5589.0
2022-08-07,4677.333333333333
2022-08-14,5126.549019607844
2022-08-21,8011.450980392156
2022-08-28,6510.78431372549
2022-09-04,7191.823529411765
2022-09-11,6937.529411764706
2022-09-18,7632.274509803921
2022-09-25,5540.64705882353
2022-10-02,6850.294117647059
2022-10-09,5557.0
2022-10-16,5160.6274509803925
2022-10-23,4408.019322055966
2022-10-30,3074.235294117647
2022-11-06,2421.426875004044
2022-11-13,1727.5686274509803
2022-11-20,2113.7815322761066
2022-11-27,2478.136093566818
2022-12-04,3854.2537651356906
2022-12-11,4242.761823696668
2022-12-18,4502.488157871775
2022-12-25,4527.841488709005
2023-01-01,3791.7413169719935
2023-01-08,3689.624417672748
2023-01-15,3514.784741719966
2023-01-22,3202.945380257374
2023-01-29,4132.002725305031
2023-02-05,3040.586100994939
