,0
2021-05-23,7934.526486771201
2021-05-30,3669.601010140295
2021-06-06,3480.092182867929
2021-06-13,1981.7859862464024
2021-06-20,910.931618784356
2021-06-27,1070.960223254248
2021-07-04,1071.7317960127025
2021-07-11,2097.188827517484
2021-07-18,3632.8471264918066
2021-07-25,6036.3984700115325
2021-08-01,9064.449875069944
2021-08-08,11616.51774794604
2021-08-15,14015.275405787905
2021-08-22,10298.877926484842
2021-08-29,38997.781190440386
2021-09-05,83156.93230677639
2021-09-12,44914.73419964424
2021-09-19,26782.479811654288
2021-09-26,37274.454059590396
2021-10-03,22419.575459123607
2021-10-10,10621.668300178064
2021-10-17,6036.154159177898
2021-10-24,7172.114915691691
2021-10-31,3331.860795633615
2021-11-07,2841.994856589141
2021-11-14,4268.108541104767
2021-11-21,6094.299009175927
2021-11-28,5122.711798828306
2021-12-05,9983.252075265947
2021-12-12,9078.730810274825
2021-12-19,7099.441803295216
2021-12-26,15789.958204838289
2022-01-02,40177.4100480747
2022-01-09,75078.17345885628
2022-01-16,84112.28647318383
2022-01-23,59414.4908134551
2022-01-30,59446.58409177858
2022-02-06,401001.4236871105
2022-02-13,203335.2697169434
2022-02-20,145849.73714099886
2022-02-27,90780.8085497112
2022-03-06,48062.968752668894
2022-03-13,23449.931166487215
2022-03-20,4518.919767906687
2022-03-27,2027.8314180854475
2022-04-10,3094.3003748149654
2022-04-17,3772.817301495579
2022-04-24,5376.1300565901
2022-05-01,4589.974925077385
2022-05-08,6908.3758735247275
2022-05-15,7381.001000934388
2022-05-22,11389.960463481964
2022-05-29,6317.414469630244
2022-06-05,5764.771923123179
2022-06-12,6922.72939321511
2022-06-26,8020.222244242854
2022-07-03,4567.477508603317
2022-07-10,3376.47063733144
2022-07-17,5398.031617369424
2022-07-24,7755.442565981488
2022-07-31,6943.133594345968
2022-08-07,4806.542698433494
2022-08-14,5532.636886226967
2022-08-21,6800.415507108036
2022-08-28,6879.069235505922
2022-09-04,6230.237434334977
2022-09-11,6037.958920598979
2022-09-18,4949.690274496273
2022-09-25,3129.009671803146
2022-10-02,3132.526078209312
2022-10-16,2448.9497167475615
2022-10-23,2526.6831690832455
2022-10-30,1487.9443560346688
2022-11-06,2024.8629498931084
2022-11-13,1986.4236822919022
2022-11-20,2208.0262936009276
2022-11-27,2003.1134103640588
2022-12-04,3355.7261044261345
2022-12-11,3966.455738123936
2022-12-18,3673.6231601128266
2022-12-25,3496.8608695124763
2023-01-01,2966.428699094531
2023-01-15,6048.790787284048
