,0
2020-08-23,2768.3571428571427
2020-08-30,1756.0545454545454
2020-09-06,1219.107142857143
2020-09-13,1157.3392857142858
2020-09-20,1554.267857142857
2020-09-27,1444.9107142857142
2020-10-04,1461.607142857143
2020-10-11,1797.3392857142858
2020-10-18,2101.4464285714284
2020-10-25,2917.9285714285716
2020-11-01,3388.910714285714
2020-11-08,5012.035714285715
2020-11-15,5776.625
2020-11-22,5129.053571428572
2020-11-29,6529.482142857143
2020-12-06,7391.625
2020-12-13,9140.892857142857
2020-12-20,10204.549019607843
2020-12-27,8407.411764705883
2021-01-03,7089.980392156863
2021-01-10,8334.156862745098
2021-01-17,6422.529411764706
2021-01-24,3940.5882352941176
2021-01-31,6394.078431372549
2021-02-07,11098.56862745098
2021-02-14,10086.326923076924
2021-02-21,7626.557692307692
2021-02-28,3355.6666666666665
2021-03-07,1799.8039215686274
2021-03-14,1751.5714285714287
2021-03-21,2969.0196078431372
2021-03-28,3257.470588235294
2021-04-04,3455.549019607843
2021-04-11,2714.0
2021-04-18,2834.156862745098
2021-04-25,4131.745098039216
2021-05-02,3649.294117647059
2021-05-09,3417.529411764706
2021-05-16,3574.549019607843
2021-05-23,2037.6
2021-05-30,1283.82
2021-06-06,998.6274509803922
2021-06-13,694.4705882352941
2021-06-20,610.6862745098039
2021-06-27,560.2941176470588
2021-07-04,831.7843137254902
2021-07-11,1186.8823529411766
2021-07-18,2547.921568627451
2021-07-25,3789.4117647058824
2021-08-01,5338.431372549019
2021-08-08,5709.78431372549
2021-08-15,5332.176470588235
2021-08-22,12237.196078431372
2021-08-29,10900.019607843138
2021-09-05,7105.607843137255
2021-09-12,5643.64705882353
2021-09-19,4454.803921568628
2021-09-26,3598.843137254902
2021-10-03,3752.0196078431372
2021-10-10,2805.549019607843
2021-10-17,2954.3137254901962
2021-10-24,2487.2156862745096
2021-10-31,2377.0588235294117
2021-11-07,2510.3333333333335
2021-11-14,3952.470588235294
2021-11-21,5895.196078431372
2021-11-28,3758.5882352941176
2021-12-05,6365.450980392156
2021-12-12,3887.0392156862745
2021-12-19,4662.6274509803925
2021-12-26,12819.372549019608
2022-01-02,34992.37254901961
2022-01-09,68069.45098039215
2022-01-16,63209.529411764706
2022-01-23,39484.509803921566
2022-01-30,26554.039215686276
2022-02-06,22181.725490196077
2022-02-13,28780.254901960783
2022-02-20,22313.352941176472
2022-02-27,3580.3529411764707
2022-03-06,2873.7450980392155
2022-03-13,8752.21568627451
2022-03-20,1844.137254901961
2022-03-27,1600.9803921568628
2022-04-03,2043.9019607843138
2022-04-10,2338.705882352941
2022-04-17,2700.8627450980393
2022-04-24,2519.4313725490197
2022-05-01,3453.549019607843
2022-05-08,4015.176470588235
2022-05-15,4950.21568627451
2022-05-22,2927.764705882353
2022-05-29,5154.3725490196075
2022-06-05,5437.705882352941
2022-06-12,5496.921568627451
2022-06-19,4060.6428571428573
2022-06-26,4585.0392156862745
2022-07-03,3702.6470588235293
2022-07-10,3266.392156862745
2022-07-17,7088.274509803921
2022-07-24,4091.294117647059
2022-07-31,3942.5882352941176
2022-08-07,2549.921568627451
2022-08-14,4115.607843137255
2022-08-21,5024.941176470588
2022-08-28,3679.3529411764707
2022-09-04,3168.372549019608
2022-09-11,2771.294117647059
2022-09-18,2162.372549019608
2022-09-25,3016.3137254901962
2022-10-02,3054.725490196078
2022-10-09,1974.078431372549
2022-10-16,2530.529411764706
2022-10-23,1552.0196078431372
2022-10-30,1835.5098039215686
2022-11-06,1498.8039215686274
2022-11-13,1588.235294117647
2022-11-20,1634.078431372549
2022-11-27,1890.7058823529412
2022-12-04,2794.9411764705883
2022-12-11,3700.8039215686276
2022-12-18,2733.8823529411766
2022-12-25,3246.7843137254904
2023-01-01,2841.5098039215686
2023-01-08,3829.8928571428573
2023-01-15,3535.8823529411766
2023-01-22,3418.2321428571427
2023-01-29,2075.222222222222
2023-02-05,1533.517857142857
