location,0.025,0.1,0.25,0.5,0.75,0.9,0.975
Alabama,8880,13086,17448,22448,27690,34841,40928
Alaska,398,489,582,727,853,1155,1718
American Samoa,0,0,0,0,1,1,1
Arizona,11190,13312,16474,21106,28943,37352,46937
Arkansas,3284,4561,6643,9380,13355,16379,20374
California,84459,106906,129042,168102,214675,261687,321398
Colorado,10973,17142,20758,26582,37073,48654,60009
Connecticut,14679,18727,23580,28680,35203,41368,49324
Delaware,4633,5536,6593,7585,10241,13068,17574
District of Columbia,5535,9268,12678,15846,19600,22877,27495
Florida,69429,79842,100323,131660,151001,171081,195959
Georgia,49167,61656,77510,94929,115582,140081,170368
Guam,31,50,66,82,153,159,198
Hawaii,8711,13995,16896,20860,24987,28764,34483
Idaho,753,1198,1700,2785,3745,4550,5701
Illinois,52703,76088,97984,126601,161030,186596,217739
Indiana,11735,16618,22182,26696,30093,33480,43841
Iowa,2758,5153,8052,11107,15030,19330,24708
Kansas,1445,3359,5769,10690,16464,20470,27954
Kentucky,6002,6740,9883,14938,17831,21230,26787
Louisiana,12472,19510,24824,30554,36890,42725,51346
Maine,2847,4030,5606,7308,9407,11239,13562
Maryland,21652,43636,55934,69645,86587,99002,105919
Massachusetts,41870,48956,52700,57260,70877,92677,134077
Michigan,23216,31112,33850,39865,45758,51901,59312
Minnesota,8628,10669,13912,18066,25332,33503,43322
Mississippi,1999,3853,4787,5930,7334,8787,12179
Missouri,6232,12690,19266,27931,35853,43932,54063
Montana,320,486,684,1112,1494,1832,2335
Nebraska,1984,3083,4345,5815,8201,10535,12882
Nevada,3934,4788,6478,7984,9382,11402,15108
New Hampshire,4666,6254,6813,7740,8662,9811,11284
New Jersey,59013,83684,112754,144773,186662,218896,248590
New Mexico,2734,3784,4953,6946,10408,13191,16673
New York,215192,234224,249958,270228,324217,440607,476015
North Carolina,20463,23603,26433,30564,34393,39216,46826
North Dakota,773,1169,1508,2021,2867,3673,5732
Northern Mariana Islands,122,135,163,203,258,306,364
Ohio,62848,69087,76709,109958,129600,153602,183295
Oklahoma,2225,3713,5325,8104,11234,13849,17192
Oregon,2765,4418,6200,8241,11255,15130,19651
Pennsylvania,41592,50359,57867,68661,87903,104067,133870
Puerto Rico,22030,25699,29997,30840,31772,32929,34676
Rhode Island,7353,7955,8820,10606,12640,14912,18430
South Carolina,6481,8603,11582,15735,20472,25142,31914
South Dakota,894,1182,1628,2387,3450,4474,6333
Tennessee,15424,21686,29423,38747,52266,57985,82193
Texas,81205,99523,118625,146288,179109,198771,260510
Utah,2538,3726,4943,5979,7742,10216,13432
Vermont,1086,1698,2189,3315,4318,6243,8364
Virgin Islands,88,164,259,330,360,393,442
Virginia,35881,39109,52631,70258,88539,111963,130353
Washington,9925,16566,23098,28438,38831,48292,63960
West Virginia,4905,5426,6175,7528,8736,9768,11018
Wisconsin,17019,22711,27336,30623,36616,43542,55958
Wyoming,226,399,521,757,980,1231,1572
