location,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99
Alabama,6,10,13,17,20,24,26,28,28,30,31,35,39,42,44,49,51,55,60,69,85,97,99
Alaska,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,3,7,10,12,13,13
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Arizona,8,14,20,23,26,30,33,36,38,43,45,49,54,58,63,66,69,74,79,91,101,111,120
Arkansas,0,1,2,4,5,6,8,8,10,11,11,12,14,15,16,17,19,21,24,27,30,32,36
California,34,44,55,67,90,108,118,125,128,131,135,142,145,152,159,170,180,195,218,228,247,265,322
Colorado,6,8,8,11,13,14,15,16,17,18,21,25,29,32,37,41,46,49,51,55,62,66,73
Connecticut,0,0,0,0,2,2,2,4,4,5,5,6,7,9,12,14,17,20,24,29,35,40,47
Delaware,0,0,0,0,0,0,1,2,2,2,3,5,8,9,10,11,11,12,13,15,18,20,20
District of Columbia,0,0,0,0,0,0,1,1,1,1,1,2,3,3,4,4,5,5,7,8,9,11,12
Florida,40,53,66,78,86,92,98,103,109,114,118,124,133,138,144,151,159,167,177,185,207,226,243
Georgia,26,34,38,43,49,56,58,60,68,74,82,91,102,111,116,121,126,131,138,146,158,168,178
Guam,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,4
Hawaii,0,0,0,1,1,1,2,2,2,2,3,3,4,4,4,4,5,5,6,6,8,9,11
Idaho,0,1,2,3,3,4,5,5,6,6,7,8,9,9,10,11,12,14,16,19,23,26,30
Illinois,28,33,36,47,54,56,60,63,64,67,74,82,90,97,104,112,120,128,138,148,164,176,186
Indiana,10,12,13,18,21,23,25,27,28,33,36,39,43,43,47,48,50,54,60,64,73,78,82
Iowa,0,0,1,2,3,4,4,5,6,7,8,9,12,14,15,18,21,23,25,25,30,34,40
Kansas,0,0,0,0,2,3,4,5,6,6,7,8,9,9,11,12,14,16,20,21,25,31,36
Kentucky,10,14,16,20,23,25,27,31,32,33,35,37,39,41,43,48,52,57,63,70,86,99,107
Louisiana,9,10,13,16,18,20,23,25,28,30,32,36,38,41,43,45,51,54,58,67,79,93,101
Maine,0,0,0,0,0,1,1,2,2,3,4,5,7,8,8,9,10,11,13,15,17,18,18
Maryland,3,6,7,10,12,14,15,17,19,20,22,24,28,31,31,31,32,32,36,39,43,47,51
Massachusetts,0,0,1,5,8,9,9,11,12,14,15,17,18,20,22,25,30,33,38,44,54,62,69
Michigan,18,27,33,40,45,49,53,59,63,66,69,73,83,87,90,93,97,111,121,135,157,175,194
