location,0.025,0.1,0.25,0.5,0.75,0.9,0.975
Alabama,703,965,1346,2222,3384,4419,6285
Alaska,414,964,1350,1639,1977,2321,2822
American Samoa,0,0,0,0,1,1,2
Arizona,17186,19687,23100,25265,29966,33546,38238
Arkansas,1482,2132,3031,4196,4688,6146,7986
California,6569,13316,15566,23298,27473,35128,38185
Colorado,10395,12720,14362,16380,18549,21711,27891
Connecticut,2707,4389,5017,5918,7188,9061,12148
Delaware,1216,1689,2021,2382,2858,3306,3951
District of Columbia,207,373,489,545,719,943,1153
Florida,9,1635,3106,3577,6785,11545,13690
Georgia,2559,3262,4332,5294,7853,9543,12024
Guam,5,16,45,64,96,127,173
Hawaii,324,438,566,709,888,1119,1361
Idaho,674,1221,1603,2161,2652,3398,3957
Illinois,13506,17372,20743,28520,34466,38500,46927
Indiana,8329,12721,13743,20077,24683,28649,34356
Iowa,3432,4615,7425,9745,11947,13988,16441
Kansas,1911,2939,4315,5893,7372,9015,10871
Kentucky,3492,5078,6840,8339,10415,12254,14671
Louisiana,549,1175,1661,1958,3124,3824,4545
Maine,1370,1856,2504,3288,4118,4952,6142
Maryland,3258,4772,5927,6434,7933,9071,11191
Massachusetts,15001,17128,19664,21513,24538,28114,35347
Michigan,21727,27802,33180,45006,60724,71774,78747
Minnesota,9441,14282,19966,23537,28283,32772,37939
Mississippi,742,1230,1564,1972,3074,3937,4616
Missouri,3178,5409,8332,11448,14826,17232,21156
Montana,554,1004,1463,1788,2295,2668,3420
Nebraska,1843,2255,3188,3934,5347,6575,8012
Nevada,1315,1814,2325,3126,3856,4876,5921
New Hampshire,2551,4073,4821,5304,6826,8177,10324
New Jersey,9995,12317,14753,17467,19888,23493,26811
New Mexico,2824,4554,5497,6578,8497,9345,11476
New York,29977,34140,41461,45979,53222,60842,74008
North Carolina,5196,6992,8306,10234,13756,16925,21349
North Dakota,1116,1733,2289,2639,3140,3660,4663
Northern Mariana Islands,0,0,0,5,15,24,34
Ohio,18237,25651,30080,33996,43038,49546,56661
Oklahoma,1465,2090,2957,4162,5138,6717,9216
Oregon,1980,2617,3150,3818,4955,5836,7018
Pennsylvania,27989,32635,36282,40909,46552,50810,58202
Puerto Rico,323,436,535,699,938,1082,1307
Rhode Island,848,1511,2115,2926,3514,4063,5037
South Carolina,1850,2602,3280,4048,5724,6893,8343
South Dakota,854,1397,1684,2053,2441,3412,4309
Tennessee,2017,4258,6007,6752,9104,11942,15147
Texas,7502,10339,12326,16448,25353,30704,39483
Utah,4364,6246,7144,8267,9389,11602,13553
Vermont,899,1267,1845,2342,2707,3210,3785
Virgin Islands,21,31,45,60,79,101,122
Virginia,5826,7071,8661,10564,12611,14348,17335
Washington,3398,4467,5775,7073,8344,10150,13453
West Virginia,1289,2148,3231,3680,5165,6771,8733
Wisconsin,12193,16577,19187,22576,26581,30604,41017
Wyoming,108,425,682,846,1200,1524,1843
