location,0.025,0.1,0.25,0.5,0.75,0.9,0.975
Alabama,2168,2402,2637,3331,3969,4562,5117
Alaska,1670,1943,2231,2609,2876,3317,3550
American Samoa,0,0,0,0,1,1,1
Arizona,19360,21059,23662,27118,30362,32710,36033
Arkansas,2578,3149,3480,4279,5090,5608,6672
California,23960,26688,30463,34166,37224,44707,46610
Colorado,13833,16875,20177,22394,23810,26100,29031
Connecticut,3320,3834,4402,5040,5995,6627,8178
Delaware,1455,1569,1964,2350,2583,2943,3364
District of Columbia,323,407,520,646,719,849,972
Florida,6979,7724,9252,10697,11631,13368,14132
Georgia,5046,5872,7167,8250,9528,10235,11258
Guam,132,135,138,143,148,152,157
Hawaii,484,543,738,886,1060,1236,1414
Idaho,2142,2221,2566,2921,3287,3863,3961
Illinois,21191,22589,26235,29985,33488,37932,40909
Indiana,12569,14878,16395,19158,21883,25130,27124
Iowa,6642,7789,8136,9567,10862,12839,13962
Kansas,5129,6695,7121,8208,9349,10762,12331
Kentucky,7203,7663,8495,10257,11473,13274,15469
Louisiana,1896,2229,2434,2903,3445,3998,4658
Maine,2619,3105,3453,4188,4836,5747,6231
Maryland,4009,4613,5496,6473,7516,8276,8951
Massachusetts,12770,13245,14969,16755,18316,21529,23841
Michigan,42260,45717,55772,63826,71180,77086,85084
Minnesota,21799,23734,26481,29478,33845,37140,39020
Mississippi,1294,1545,1878,2262,2787,3457,3763
Missouri,9377,11631,14101,17080,20069,23174,25469
Montana,2242,2704,3077,3549,4031,4408,4799
Nebraska,4569,5176,5908,6923,8050,9337,10683
Nevada,2903,3300,3796,4372,4950,5441,6033
New Hampshire,4767,4855,5650,6168,6883,7550,8196
New Jersey,8397,10160,12128,14329,16321,17781,19367
New Mexico,7337,7522,8987,10047,11037,12110,13074
New York,31749,33448,39566,45033,50489,58189,61360
North Carolina,8581,9866,11272,13426,15016,16755,18221
North Dakota,2085,2390,2861,3258,3623,4088,4463
Northern Mariana Islands,35,35,37,40,44,48,51
Ohio,27322,28325,32710,38123,43142,46863,51121
Oklahoma,4224,4770,5480,6125,6849,8237,10337
Oregon,4121,4335,4807,5457,6020,7249,7853
Pennsylvania,26273,30099,34378,39574,45194,47835,53481
Puerto Rico,490,510,736,862,1000,1109,1156
Rhode Island,2407,2537,2757,3106,3464,4279,4710
South Carolina,3021,3487,4152,4739,5488,6174,6534
South Dakota,1837,2189,2470,2964,3572,4016,4488
Tennessee,5633,6614,7816,9464,10758,12563,13129
Texas,15785,18048,21383,23910,27296,33153,35074
Utah,8858,9158,9751,11134,12133,12908,14706
Vermont,1891,2108,2362,2627,3013,3676,4119
Virgin Islands,72,75,77,79,81,87,90
Virginia,6976,7180,8524,10673,12046,14009,16383
Washington,7902,8719,10297,11680,12665,14552,15478
West Virginia,3744,3923,4970,5801,6468,7741,8091
Wisconsin,15601,18343,21549,24688,28160,31187,34527
Wyoming,1118,1313,1549,1709,2106,2448,2761
