location,0.025,0.1,0.25,0.5,0.75,0.9,0.975
Alabama,20500,22698,26183,30010,32912,37299,40383
Alaska,1004,1542,1776,2138,2744,3056,3918
American Samoa,0,0,0,0,0,0,0
Arizona,41838,52573,56426,65376,70686,77308,87485
Arkansas,14118,15800,18214,20380,22422,24043,26118
California,176387,219440,247417,282582,307789,354812,395884
Colorado,10969,13337,15690,17957,19766,24130,30913
Connecticut,8470,10428,12520,15874,18043,21673,23940
Delaware,3849,4161,4820,5513,6310,7194,7764
District of Columbia,1174,1421,1695,1958,2268,2562,2965
Florida,84215,92155,102809,116850,131136,145449,166782
Georgia,44069,53372,61154,67622,72694,77797,88865
Guam,11,21,39,62,94,139,173
Hawaii,698,910,1101,1251,1456,1686,2027
Idaho,2978,4236,5202,6096,7412,8352,9533
Illinois,26814,32799,38862,45027,49619,56272,68727
Indiana,21236,26940,30882,35914,39279,41777,46581
Iowa,5249,7214,8960,11351,13413,15698,18938
Kansas,6831,8629,10479,12599,14762,16692,19912
Kentucky,13775,17820,20496,25032,27970,31789,40278
Louisiana,14569,18602,21217,24969,27595,30667,34333
Maine,2542,2909,3506,4002,5009,5471,5820
Maryland,16004,17768,19228,20950,23455,26885,30860
Massachusetts,29318,35048,38469,43190,49149,54431,64098
Michigan,11453,15875,18703,24080,27653,32552,39654
Minnesota,6875,9566,12357,15520,17380,21246,24919
Mississippi,12193,13630,15329,16631,18631,20565,21709
Missouri,13582,16479,19256,21746,23614,26226,29153
Montana,1787,2378,2892,3650,3941,4404,5550
Nebraska,3267,4635,5696,6587,7581,9108,10686
Nevada,9765,11952,14650,15533,17780,19447,21773
New Hampshire,3095,3948,4813,5657,6142,7154,7981
New Jersey,26738,31956,34257,38068,41683,46016,49637
New Mexico,5250,6728,7803,8881,9907,10837,12803
New York,82580,93824,107275,117781,123555,143925,154270
North Carolina,41469,47827,55368,60350,66676,70371,75151
North Dakota,628,963,1221,1438,1686,2183,2636
Northern Mariana Islands,0,0,0,2,5,8,17
Ohio,31771,39708,48353,55229,60251,65542,75393
Oklahoma,19146,22541,24525,27007,29866,31693,37072
Oregon,4990,5982,6966,7970,8959,10326,11747
Pennsylvania,36358,43185,48498,55954,62698,71221,83404
Puerto Rico,2167,3011,3382,4413,5128,5821,7878
Rhode Island,3773,4986,6109,7192,8540,9446,11934
South Carolina,25629,28931,32075,37092,41070,45729,52125
South Dakota,1123,1752,2440,2758,3043,3819,4659
Tennessee,23858,29291,34958,42643,49879,60553,72427
Texas,101511,111161,134808,150528,166037,185651,220111
Utah,12155,14830,17029,20745,22893,25059,28004
Vermont,706,933,1001,1208,1407,1654,1778
Virgin Islands,2,27,52,86,134,184,217
Virginia,26790,29689,32883,35865,40921,44062,49312
Washington,7884,11681,14738,19376,24079,27430,35346
West Virginia,8114,9405,10041,10609,11440,12272,13524
Wisconsin,9659,14894,18950,23274,25711,30638,34530
Wyoming,813,1179,1563,1942,2334,2639,3117
