location,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99
Alabama,4,6,10,11,20,23,26,30,35,39,41,44,48,51,55,59,63,66,72,87,103,117,140
Alaska,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,4,4,5,6,8,9,10
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,7,13,17,22,25,29,32,36,40,43,47,51,56,62,68,71,73,75,79,88,108,122,141
Arkansas,2,3,4,6,7,8,9,10,11,11,12,14,17,19,20,21,23,25,27,30,33,36,41
California,37,44,53,66,73,79,90,96,106,117,129,140,152,165,173,179,187,209,238,264,294,319,362
Colorado,11,15,17,22,25,27,31,33,36,39,42,45,51,54,56,59,63,67,71,75,81,88,94
Connecticut,0,0,0,1,2,2,3,3,4,5,6,7,11,12,14,14,16,17,19,22,28,32,34
Delaware,0,0,0,0,1,1,1,2,2,3,4,5,6,7,8,8,9,10,11,13,15,17,19
District of Columbia,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,4,4,5,5,6,7,8
Florida,24,47,70,101,114,132,144,156,168,172,174,181,191,200,211,236,245,255,268,299,327,341,360
Georgia,41,54,64,69,77,84,91,96,103,106,110,115,125,128,135,139,156,166,175,180,201,220,254
Guam,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,4
Hawaii,0,0,0,0,1,1,1,1,2,2,2,3,4,4,4,4,5,5,6,7,8,9,11
Idaho,1,2,2,3,5,6,6,7,7,8,9,10,12,13,14,15,16,17,19,20,22,24,27
Illinois,15,27,33,40,49,55,62,73,77,81,86,90,93,99,105,109,113,120,137,151,166,185,195
Indiana,7,11,16,22,26,28,31,33,35,38,41,43,46,48,51,53,56,59,64,70,79,86,92
Iowa,1,3,4,4,6,7,8,9,11,13,15,17,21,23,24,25,25,26,29,34,37,40,44
Kansas,1,2,2,3,5,7,7,8,9,9,11,14,16,17,19,20,21,22,24,27,34,39,46
Kentucky,10,13,17,21,23,26,32,36,39,41,43,52,61,64,67,71,79,82,84,86,91,95,110
Louisiana,7,10,11,13,16,19,21,23,26,28,29,31,36,37,40,42,43,46,49,54,63,70,79
Maine,0,0,0,0,1,2,2,2,2,3,4,5,6,7,8,9,10,11,11,14,16,18,18
Maryland,0,4,6,10,13,15,18,19,21,23,24,29,33,35,37,39,42,44,48,53,63,71,81
Massachusetts,0,1,5,6,6,7,8,9,10,11,13,14,19,22,24,25,27,32,38,42,48,56,65
Michigan,13,19,22,31,38,45,55,57,70,80,83,86,91,94,100,109,121,130,151,155,169,185,207
Minnesota,0,1,4,8,10,12,12,13,15,17,22,24,28,34,36,39,41,44,47,51,59,65,72
Mississippi,3,4,5,7,8,9,11,13,14,14,16,19,22,23,24,25,25,27,30,32,38,42,48
Missouri,5,11,17,24,29,34,36,40,43,47,50,58,63,65,70,78,86,98,110,122,136,144,157
Montana,0,1,2,3,3,4,5,5,6,7,7,9,11,13,14,15,16,18,20,22,25,27,30
Nebraska,0,0,0,0,0,0,0,0,1,1,1,2,5,6,7,8,9,11,12,13,16,18,19
Nevada,2,3,4,6,7,8,9,10,11,13,16,18,21,23,24,25,27,28,31,34,38,40,46
New Hampshire,0,0,0,0,0,0,1,1,1,1,2,3,4,5,5,5,6,7,9,10,12,14,15
New Jersey,3,5,7,10,12,16,19,22,22,24,32,35,42,45,46,46,46,57,65,75,86,93,100
New Mexico,1,3,4,5,6,7,7,9,10,11,11,13,17,18,20,21,22,23,23,25,29,31,34
New York,15,18,22,27,33,37,44,48,49,52,64,69,82,85,91,99,105,112,125,137,154,173,186
North Carolina,14,21,27,36,41,43,48,53,57,63,69,72,75,76,78,86,94,100,108,118,137,153,180
North Dakota,0,0,0,0,0,1,1,1,1,2,2,3,4,4,4,5,5,6,6,7,9,10,11
