location,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99
Alabama,118,134,147,160,176,191,209,218,227,232,234,243,256,262,271,286,304,325,352,391,467,556,614
Alaska,1,1,2,4,5,5,6,6,7,7,8,9,11,12,13,14,15,16,18,19,21,22,24
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,86,94,105,120,128,131,134,137,147,158,164,174,185,186,188,190,196,203,231,245,277,294,306
Arkansas,99,120,143,153,158,164,169,172,174,188,202,216,230,238,253,253,254,254,255,284,310,335,355
California,219,253,275,293,329,348,367,384,400,420,481,482,519,605,668,732,805,840,885,926,988,1067,1128
Colorado,29,33,40,43,47,49,52,54,56,58,61,64,67,69,70,71,76,79,83,87,95,103,111
Connecticut,2,4,5,9,10,12,13,13,15,16,17,20,22,23,24,25,27,29,32,34,37,41,44
Delaware,0,1,2,3,4,5,5,6,7,7,7,8,10,11,11,12,13,14,15,16,18,20,23
District of Columbia,0,0,0,0,1,1,1,2,2,3,3,4,5,6,6,7,8,9,11,11,14,18,19
Florida,790,890,984,1082,1157,1253,1325,1382,1411,1453,1495,1536,1570,1615,1682,1756,1836,1922,2014,2104,2240,2387,2486
Georgia,181,200,214,229,244,253,267,277,287,295,304,313,324,342,364,376,392,420,423,445,536,641,666
Guam,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,3,3,3,4,4,5
Hawaii,3,5,6,8,11,11,15,15,16,19,19,20,22,25,25,25,26,29,34,37,42,46,50
Idaho,23,25,27,29,32,32,33,33,34,37,39,43,45,47,51,51,52,54,59,62,70,75,83
Illinois,71,80,86,95,105,116,120,126,133,140,144,149,154,157,159,162,167,173,180,189,215,225,233
Indiana,70,80,85,91,97,105,114,119,122,125,127,132,139,142,146,151,156,162,168,173,180,193,214
Iowa,8,12,13,14,16,17,20,22,23,25,27,30,33,35,36,38,39,40,43,46,49,56,58
Kansas,40,50,60,68,73,77,81,86,88,91,94,98,103,110,116,122,125,132,137,146,159,180,191
Kentucky,49,58,66,73,78,81,84,87,90,91,94,100,104,108,111,113,117,119,125,133,147,165,172
Louisiana,281,298,314,341,367,391,396,405,411,419,430,445,461,475,483,496,512,582,608,632,705,737,759
Maine,0,0,1,3,4,4,5,5,5,5,6,7,8,8,9,9,10,12,13,15,17,18,21
Maryland,30,33,37,40,43,47,49,52,53,53,56,58,61,63,65,68,70,72,76,80,87,94,100
Massachusetts,31,32,32,34,35,39,42,43,46,47,51,53,60,65,66,68,70,72,74,77,82,86,90
Michigan,48,55,63,67,73,76,79,82,84,87,90,95,98,102,106,110,115,117,126,131,148,161,178
Minnesota,31,36,38,41,44,45,47,49,50,52,53,59,65,67,69,70,72,75,80,84,92,99,112
Mississippi,136,142,149,175,187,202,216,227,242,250,258,267,275,278,282,287,290,300,314,350,363,388,427
Missouri,113,129,146,156,171,178,185,189,193,200,204,211,224,236,245,253,263,274,286,301,322,334,364
Montana,6,8,9,9,10,10,10,11,12,13,13,18,20,21,25,26,26,27,28,33,41,43,47
Nebraska,1,3,4,5,6,8,9,10,11,13,15,16,18,18,19,20,21,21,23,24,27,29,32
Nevada,88,97,105,108,122,125,128,130,133,134,140,148,150,157,158,164,169,175,178,183,189,196,205
New Hampshire,0,1,2,3,3,4,5,5,6,6,7,8,9,9,10,11,11,12,13,13,15,15,17
New Jersey,30,34,44,52,57,61,65,66,68,70,72,78,83,86,92,92,98,105,113,116,130,141,152
New Mexico,16,20,24,26,28,30,32,33,35,37,39,42,45,47,48,50,51,52,53,55,64,71,77
New York,104,114,122,144,152,163,173,181,190,197,206,214,222,236,240,243,248,255,268,289,329,348,392
North Carolina,105,119,129,131,139,144,150,158,171,180,195,212,225,226,230,234,235,240,246,256,279,307,318
