location,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99
Alabama,69,89,100,123,138,151,163,170,175,179,184,190,201,212,218,228,236,246,261,265,296,323,364
Alaska,2,4,6,9,10,10,11,11,14,15,15,18,19,20,21,22,24,25,26,29,31,33,35
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,128,134,148,171,181,188,194,198,208,221,233,244,253,267,274,283,289,297,313,320,355,373,404
Arkansas,71,83,88,101,110,116,122,130,134,137,139,143,150,154,159,166,171,177,183,194,207,220,236
California,352,394,418,460,491,512,532,550,563,578,593,608,629,656,682,701,726,751,780,819,896,935,981
Colorado,136,155,169,187,194,205,216,231,244,251,263,273,280,298,307,317,329,337,340,358,390,429,462
Connecticut,52,70,86,105,113,117,122,130,136,140,144,149,154,164,168,173,179,185,196,210,233,251,272
Delaware,8,10,12,15,17,19,20,21,21,22,24,27,29,32,33,34,36,38,40,43,48,50,53
District of Columbia,4,4,6,7,8,9,9,10,10,11,11,12,13,14,15,16,17,18,19,21,24,27,29
Florida,382,411,441,498,521,532,565,578,598,615,626,632,647,655,665,680,691,708,727,756,799,848,875
Georgia,139,161,188,212,228,242,250,254,262,270,278,289,306,316,320,326,339,352,368,388,433,444,469
Guam,0,0,1,1,2,3,4,5,5,6,7,7,8,8,8,9,9,10,11,12,13,15,16
Hawaii,1,1,2,3,3,4,5,6,6,7,8,8,9,10,12,13,13,15,16,17,20,21,24
Idaho,41,43,48,61,69,74,76,77,78,82,87,90,94,97,99,101,103,107,110,114,125,143,149
Illinois,594,652,678,726,767,786,841,851,859,867,891,916,948,975,1004,1035,1076,1098,1128,1156,1248,1350,1397
Indiana,324,337,362,384,398,422,436,443,458,470,479,488,500,510,529,534,543,553,557,598,625,647,664
Iowa,115,125,140,151,157,167,171,183,194,201,207,212,219,224,230,236,248,258,272,284,293,304,331
Kansas,75,84,107,124,136,139,143,146,149,156,163,167,171,177,188,196,201,208,214,224,245,273,275
Kentucky,83,89,99,107,114,118,123,127,132,137,139,148,152,161,170,173,175,178,183,192,204,210,221
Louisiana,94,102,125,144,150,156,164,170,177,179,182,185,188,203,207,216,223,234,243,262,290,311,325
Maine,4,6,7,9,11,12,13,14,14,16,17,18,20,21,21,21,24,26,28,29,31,34,36
Maryland,135,141,150,162,171,178,181,188,194,199,202,206,211,215,222,230,240,249,259,270,294,314,338
Massachusetts,147,166,174,188,196,207,220,229,233,236,240,244,258,267,274,281,288,302,325,338,353,360,383
Michigan,354,398,461,527,542,555,563,574,607,648,665,703,713,717,729,767,808,814,849,939,978,1014,1078
Minnesota,255,285,313,344,354,363,373,390,398,413,420,428,441,449,457,478,492,508,528,557,593,636,683
Mississippi,78,90,99,107,112,119,121,122,125,130,137,143,147,152,155,160,167,174,180,186,193,206,225
Missouri,125,130,159,186,200,214,228,239,253,262,268,278,293,300,309,322,335,353,369,388,410,416,476
Montana,41,44,49,58,63,65,70,72,76,79,85,90,92,98,98,100,105,109,114,121,126,133,141
Nebraska,40,52,60,75,81,89,97,102,108,113,116,122,124,130,135,136,143,147,156,165,180,194,215
Nevada,65,75,88,101,108,117,125,133,138,144,150,155,160,165,172,179,188,193,200,213,231,244,263
New Hampshire,8,10,11,13,14,16,17,18,20,21,21,22,24,25,26,27,28,29,31,34,38,41,43
New Jersey,160,176,199,219,231,242,249,257,261,265,270,278,296,311,323,331,341,358,374,393,412,438,462
New Mexico,127,138,147,158,169,180,185,193,202,205,209,215,220,223,228,238,244,248,260,274,288,314,330
New York,181,199,223,258,273,285,293,318,326,337,353,359,366,377,387,399,414,439,461,489,509,522,586
North Carolina,149,169,177,202,220,233,242,250,259,268,278,283,292,305,310,313,318,324,335,350,374,396,419
North Dakota,34,39,44,53,57,59,64,71,77,78,79,81,84,93,96,99,104,110,114,118,122,125,130
Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ohio,280,314,344,378,401,420,438,450,475,492,510,523,536,554,565,597,622,635,645,658,684,720,743
Oklahoma,83,88,94,112,116,122,129,134,136,140,148,155,159,163,167,171,184,186,188,198,219,225,237
Oregon,40,47,55,64,72,76,80,86,89,93,96,99,103,110,114,116,119,122,127,133,138,140,147
Pennsylvania,450,471,510,545,557,630,654,666,673,680,685,713,736,758,778,785,792,815,856,915,984,1099,1166
Puerto Rico,24,30,40,49,55,58,61,64,67,70,74,77,80,83,86,91,93,101,104,112,122,135,147
Rhode Island,24,28,35,41,44,47,49,52,55,58,59,61,64,68,71,74,77,80,85,90,98,110,114
South Carolina,55,66,70,81,91,97,103,108,114,118,124,131,138,142,148,152,158,160,169,180,194,205,223
South Dakota,75,82,101,112,119,126,130,136,143,148,151,158,164,168,169,175,190,196,205,210,230,241,256
Tennessee,218,243,263,291,308,323,329,346,359,363,367,372,376,381,386,394,401,413,427,461,496,536,570
Texas,637,675,697,744,787,828,876,930,962,984,1003,1025,1048,1086,1127,1156,1184,1210,1237,1276,1373,1467,1629
Utah,52,55,60,62,65,67,72,79,82,84,86,87,89,99,105,107,109,113,117,122,129,134,139
Vermont,0,0,0,1,2,2,3,3,3,4,4,5,6,6,6,7,8,8,9,9,10,11,12
Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2
Virginia,73,85,95,105,110,115,120,124,132,139,143,151,161,168,172,184,190,197,205,212,234,246,267
Washington,55,69,81,98,106,111,114,118,123,129,133,138,150,157,163,169,175,184,191,201,215,229,241
West Virginia,45,50,55,68,74,77,81,86,91,95,100,104,107,111,115,121,127,132,140,145,154,160,166
