State,0.025,0.1,0.25,0.5,0.75,0.9,0.975
Alabama,10.0,23.0,59.0,200.0,466.0,1062.0,1748.0
Alaska,2.0,4.0,12.0,56.0,121.0,175.0,242.0
American Samoa,0.0,0.0,0.0,0.0,3.0,6.0,15.0
Arizona,25.0,60.0,270.0,795.0,1205.0,1763.0,2543.0
Arkansas,9.0,15.0,20.0,111.0,434.0,894.0,1170.0
California,108.0,228.0,519.0,2704.0,5958.0,13717.0,20354.0
Colorado,23.0,34.0,54.0,232.0,804.0,1506.0,2306.0
Connecticut,11.0,22.0,54.0,254.0,577.0,845.0,1219.0
Delaware,3.0,7.0,14.0,71.0,135.0,234.0,338.0
District of Columbia,2.0,2.0,6.0,18.0,80.0,235.0,283.0
Florida,68.0,108.0,256.0,884.0,3546.0,6552.0,9918.0
Georgia,32.0,56.0,100.0,385.0,1245.0,2796.0,4887.0
Guam,0.0,0.0,0.0,0.0,5.0,5.0,15.0
Hawaii,4.0,7.0,18.0,77.0,113.0,206.0,654.0
Idaho,5.0,10.0,21.0,75.0,197.0,355.0,772.0
Illinois,71.0,117.0,822.0,1541.0,2321.0,3899.0,4313.0
Indiana,22.0,55.0,201.0,739.0,1031.0,1773.0,2139.0
Iowa,9.0,21.0,30.0,128.0,408.0,902.0,1256.0
Kansas,10.0,17.0,32.0,220.0,447.0,932.0,1450.0
Kentucky,13.0,21.0,41.0,183.0,520.0,1338.0,1761.0
Louisiana,14.0,21.0,42.0,169.0,544.0,1354.0,1970.0
Maine,4.0,6.0,14.0,52.0,108.0,321.0,573.0
Maryland,35.0,55.0,172.0,706.0,1005.0,1876.0,1987.0
Massachusetts,26.0,50.0,183.0,629.0,1139.0,2135.0,2362.0
Michigan,40.0,93.0,229.0,783.0,1536.0,3013.0,3216.0
Minnesota,17.0,29.0,51.0,225.0,477.0,1239.0,2225.0
Mississippi,8.0,16.0,27.0,135.0,345.0,894.0,1392.0
Missouri,27.0,41.0,100.0,682.0,862.0,1337.0,2283.0
Montana,3.0,6.0,10.0,28.0,86.0,188.0,425.0
Nebraska,6.0,11.0,18.0,79.0,211.0,351.0,734.0
Nevada,8.0,15.0,25.0,111.0,299.0,816.0,1450.0
New Hampshire,4.0,8.0,22.0,57.0,192.0,435.0,697.0
New Jersey,43.0,59.0,252.0,951.0,1474.0,2751.0,3043.0
New Mexico,7.0,14.0,42.0,258.0,357.0,495.0,839.0
New York,94.0,128.0,549.0,2071.0,3196.0,5989.0,6625.0
North Carolina,32.0,67.0,154.0,758.0,1221.0,3186.0,4936.0
North Dakota,2.0,4.0,8.0,47.0,131.0,251.0,371.0
Northern Mariana Islands,0.0,0.0,0.0,0.0,1.0,2.0,6.0
Ohio,37.0,76.0,139.0,709.0,1750.0,3041.0,4642.0
Oklahoma,11.0,23.0,41.0,194.0,542.0,1234.0,1817.0
Oregon,12.0,26.0,49.0,261.0,569.0,1104.0,2831.0
Pennsylvania,72.0,107.0,246.0,1369.0,2066.0,3854.0,4380.0
Puerto Rico,7.0,22.0,85.0,303.0,486.0,850.0,934.0
Rhode Island,4.0,7.0,13.0,90.0,148.0,274.0,355.0
South Carolina,17.0,31.0,77.0,237.0,744.0,1616.0,2072.0
South Dakota,3.0,6.0,11.0,36.0,122.0,294.0,338.0
Tennessee,15.0,41.0,79.0,465.0,965.0,2133.0,2707.0
Texas,90.0,153.0,273.0,1267.0,4063.0,8933.0,13077.0
Utah,10.0,17.0,30.0,129.0,412.0,843.0,1502.0
Vermont,2.0,3.0,5.0,25.0,72.0,175.0,226.0
Virgin Islands,0.0,0.0,1.0,2.0,8.0,17.0,37.0
Virginia,6.0,25.0,65.0,321.0,670.0,1302.0,2590.0
Washington,23.0,38.0,69.0,319.0,948.0,1849.0,3263.0
West Virginia,7.0,12.0,27.0,111.0,250.0,586.0,870.0
Wisconsin,20.0,49.0,96.0,417.0,714.0,1914.0,2975.0
Wyoming,2.0,2.0,4.0,23.0,80.0,163.0,230.0
