location,0.025,0.1,0.25,0.5,0.75,0.9,0.975
Alabama,14144,19312,25889,32847,41174,51075,63128
Alaska,1945,2407,2920,3745,4541,5442,6587
American Samoa,0,0,0,0,1,1,1
Arizona,20743,24827,27811,36172,47084,60599,78770
Arkansas,7670,10242,12827,17054,23608,29373,36921
California,49882,70406,92572,130381,154523,173636,198551
Colorado,7076,9117,11128,14785,19297,25534,37623
Connecticut,2938,3876,5166,6938,9772,13159,17022
Delaware,2749,3566,4689,6402,8803,10456,11966
District of Columbia,2100,3007,3918,4730,6283,9055,11949
Florida,93828,108117,117483,170692,244621,310113,405173
Georgia,52544,67135,84561,104579,127518,149479,206760
Guam,908,1016,1517,2246,3029,3640,4337
Hawaii,6925,7979,10290,12837,17801,20531,23200
Idaho,3024,5185,7528,10626,15414,21603,31903
Illinois,29029,33095,40316,49682,59801,68949,78579
Indiana,25955,32128,42631,54855,74715,91808,107102
Iowa,6465,7517,9611,13758,19370,25460,33725
Kansas,6449,10899,16777,24525,38483,46300,56067
Kentucky,21521,28766,33517,48672,71751,90414,109435
Louisiana,18945,21656,27519,39814,58827,79844,103934
Maine,2756,3530,4601,7080,9550,12041,14979
Maryland,8295,10920,13312,19358,28402,38139,53299
Massachusetts,9412,12690,14824,21259,29938,38938,54837
Michigan,12279,18783,26572,42272,60848,82026,115108
Minnesota,10479,16091,23867,38412,59321,81358,110272
Mississippi,13586,17523,31068,44504,65293,72248,77457
Missouri,8194,13081,15753,18940,25460,33722,39507
Montana,2020,2431,4117,6259,10124,14210,21380
Nebraska,2329,3320,4157,5082,7379,9639,11581
Nevada,3629,5117,7851,9922,11173,13076,15675
New Hampshire,1616,2206,2972,4309,6396,9137,13652
New Jersey,12029,16552,18384,26899,38477,53313,75177
New Mexico,7742,9247,11252,13281,18609,20491,22788
New York,37259,42656,56828,77101,104014,139808,177847
North Carolina,46113,54984,81169,110078,152239,193337,244282
North Dakota,1375,1974,2471,3399,4347,6589,9439
Northern Mariana Islands,0,0,0,0,2,4,7
Ohio,25965,32696,43777,61965,92231,124562,148240
Oklahoma,11226,15522,20458,25389,31378,39378,46856
Oregon,22673,30688,40558,56178,71767,80599,90628
Pennsylvania,18344,23533,30087,40297,56232,75446,100668
Puerto Rico,5066,7537,11130,15390,17752,21717,26209
Rhode Island,2204,3059,3935,5448,7763,10977,15058
South Carolina,28517,32966,39627,51772,71634,86073,101241
South Dakota,2028,2453,2896,4559,6710,8878,11681
Tennessee,27734,37048,51279,72179,103565,130466,159536
Texas,61031,88432,117727,156090,201146,247517,312532
Utah,3274,3886,5355,7278,8713,10248,14458
Vermont,1815,2463,3366,4839,6972,9751,13802
Virgin Islands,236,317,330,441,586,1340,1621
Virginia,20935,24590,31963,43045,58225,73649,97564
Washington,16139,23961,27975,46865,76155,119197,151939
West Virginia,4651,6245,7622,10134,12922,19406,32712
Wisconsin,7267,12071,17823,24715,46647,59028,73248
Wyoming,1841,2381,2858,3460,4773,5567,6448
