location,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99
Alabama,83,90,144,167,184,209,246,260,271,282,295,316,338,370,403,439,451,472,494,575,653,688,719
Alaska,5,7,7,10,12,13,15,16,17,19,22,24,27,31,32,33,36,39,50,56,65,70,78
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,79,100,116,148,157,189,221,233,239,246,253,261,274,288,301,316,334,358,389,424,495,542,583
Arkansas,51,74,85,91,96,100,104,125,131,136,141,151,165,178,194,208,224,243,265,295,373,417,452
California,334,430,467,519,558,579,665,691,720,744,771,794,816,844,869,895,930,967,1075,1150,1280,1502,1735
Colorado,21,24,30,41,50,56,57,58,64,69,69,75,79,86,93,100,111,118,124,133,144,156,188
Connecticut,9,15,17,19,20,26,27,28,29,30,33,37,40,42,44,46,48,50,53,57,63,75,84
Delaware,7,9,11,14,16,18,20,24,27,33,35,37,39,41,44,46,50,53,57,62,68,79,83
District of Columbia,0,0,1,2,5,6,7,8,8,9,10,11,12,13,14,15,16,17,19,21,25,29,31
Florida,645,775,856,958,1035,1103,1171,1239,1289,1348,1416,1486,1708,1818,1921,2011,2148,2223,2378,2539,2873,3245,3507
Georgia,255,359,406,456,495,541,593,637,666,678,704,744,770,781,794,830,872,900,918,959,1122,1174,1258
Guam,1,2,3,4,6,7,8,10,11,13,15,17,19,21,24,27,31,36,43,52,65,74,87
Hawaii,9,12,15,18,20,21,28,35,37,39,43,46,48,51,54,56,59,65,69,74,84,92,114
Idaho,16,20,24,32,36,38,40,42,47,52,54,56,60,64,68,75,80,86,92,100,112,124,135
Illinois,102,113,129,153,174,188,200,217,227,235,245,260,276,292,307,323,339,342,362,382,414,456,481
Indiana,136,150,168,196,216,254,266,296,336,361,386,395,419,428,451,467,482,499,521,546,598,625,675
Iowa,16,21,21,29,34,42,45,50,55,61,69,71,74,80,87,97,100,104,116,131,155,164,172
Kansas,27,34,46,53,59,64,79,84,90,99,107,116,127,136,148,158,167,181,198,218,250,287,310
Kentucky,137,163,190,210,219,229,238,247,257,263,268,307,318,333,365,378,399,417,433,451,500,634,691
Louisiana,125,138,154,185,215,233,257,278,307,337,349,385,401,414,422,443,471,503,543,590,689,744,905
Maine,0,1,2,2,3,3,4,5,9,12,15,17,19,20,21,23,25,28,31,37,41,47,52
Maryland,35,42,53,57,63,69,74,79,83,89,95,101,106,112,120,131,139,149,161,177,200,220,252
Massachusetts,18,21,26,32,37,45,52,57,64,69,77,87,95,103,107,114,120,132,139,152,187,200,230
Michigan,60,79,106,137,163,180,190,204,209,221,233,248,268,275,288,308,323,340,359,385,416,453,498
Minnesota,20,28,34,40,48,56,60,66,67,69,73,74,90,98,103,110,116,123,134,145,160,195,217
Mississippi,123,149,173,203,220,241,245,308,326,345,361,384,404,422,443,454,467,481,511,538,619,696,781
Missouri,71,81,93,109,120,132,140,149,175,180,185,190,202,213,223,238,247,262,278,297,339,379,429
Montana,14,17,21,28,31,33,34,36,37,39,40,45,52,53,54,57,64,67,72,87,93,103,120
Nebraska,2,6,9,12,15,18,20,22,24,28,32,35,41,41,43,48,52,57,67,84,100,118,128
Nevada,59,64,69,72,75,79,83,90,95,103,103,114,122,123,127,135,153,166,172,183,230,257,270
New Hampshire,3,6,8,10,13,15,15,15,15,16,19,20,24,26,27,28,33,37,40,45,52,63,66
New Jersey,52,67,86,90,97,102,107,112,116,120,124,129,140,150,161,181,190,198,203,209,240,266,338
New Mexico,22,29,35,44,53,60,68,71,74,77,79,80,85,89,94,100,102,104,114,122,135,147,154
New York,111,136,157,177,193,206,217,227,236,244,252,260,276,292,310,328,358,374,392,424,491,547,600
North Carolina,174,206,236,287,315,344,371,383,399,409,423,434,448,493,507,522,547,578,618,666,740,802,887
North Dakota,3,5,5,8,11,12,13,14,16,17,19,21,25,26,27,30,32,34,36,39,45,51,57
Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Ohio,57,87,110,130,143,155,168,181,192,203,224,236,259,283,292,299,306,328,343,421,451,502,552
Oklahoma,68,80,95,105,115,128,138,143,148,166,178,187,207,222,224,224,233,240,255,277,314,366,417
Oregon,43,60,68,92,111,127,136,146,152,157,162,167,178,184,207,210,263,283,312,329,358,372,408
Pennsylvania,88,101,122,161,216,233,239,245,253,260,270,277,290,299,312,327,345,364,386,413,454,504,527
Puerto Rico,31,34,36,40,55,60,61,61,62,63,67,71,80,83,84,85,87,89,113,123,144,165,182
Rhode Island,2,3,4,7,8,8,9,10,10,11,11,14,18,18,20,23,24,24,25,28,32,35,40
South Carolina,135,173,212,251,278,300,319,362,375,402,432,463,472,489,511,539,565,592,618,662,684,771,825
South Dakota,3,4,5,7,11,14,17,20,24,25,27,30,33,37,39,42,43,46,48,54,58,68,83
Tennessee,145,186,228,259,280,299,313,336,376,404,447,478,537,557,589,625,640,657,687,716,820,891,906
Texas,757,822,892,997,1056,1063,1113,1158,1262,1297,1303,1348,1410,1492,1664,1756,1830,1895,1972,2052,2177,2421,2555
Utah,16,21,25,31,38,42,46,51,57,60,62,64,68,72,77,82,87,93,105,117,127,142,167
Vermont,0,1,2,3,3,5,6,6,7,7,8,9,11,13,15,17,17,18,20,23,27,32,34
Virgin Islands,0,0,0,1,2,3,3,3,4,4,4,5,5,6,6,6,7,7,8,8,11,12,15
Virginia,51,77,102,132,162,174,188,193,197,208,219,224,251,272,293,321,354,396,455,492,596,628,664
Washington,90,109,129,141,155,163,170,177,185,205,217,231,245,256,267,280,290,309,327,354,391,432,474
West Virginia,43,62,86,100,110,116,123,138,144,149,153,166,180,193,220,230,237,249,269,292,327,376,399
Wisconsin,32,45,61,71,79,83,92,97,104,111,117,126,130,159,168,178,188,199,212,229,254,276,302
Wyoming,4,7,12,15,17,18,20,21,22,25,30,34,39,44,47,49,54,58,63,71,87,100,108
