location,0.025,0.1,0.25,0.5,0.75,0.9,0.975
Alabama,98394,123702,154908,195123,238908,274730,316137
Alaska,2690,3833,5476,8329,12722,17340,26650
American Samoa,0,0,0,0,0,0,0
Arizona,33846,46005,66605,102132,153230,209338,293090
Arkansas,33989,44281,59980,83005,112477,140448,172814
California,813215,1065026,1393111,1852761,2370279,2797631,3259143
Colorado,135305,176709,257849,336642,420050,486808,540965
Connecticut,82843,106380,137691,180783,250132,290176,327097
Delaware,17216,23350,31410,43980,59231,71987,84720
District of Columbia,34687,41130,47238,53704,58415,59958,72338
Florida,813763,951996,1085614,1232281,1392333,1537864,1699254
Georgia,305358,354781,392402,432603,468091,500701,532514
Guam,658,948,1398,2186,3410,4751,7295
Hawaii,52815,67183,84004,104379,123226,137563,152529
Idaho,6254,9438,13806,21368,32360,44006,60455
Illinois,351444,447255,607663,772210,937099,1053642,1196730
Indiana,64822,88434,120270,171087,237514,300494,378480
Iowa,13678,19227,27619,41968,62882,84940,116621
Kansas,18491,25977,36645,55353,82017,109519,147794
Kentucky,37156,50487,69053,99755,137200,174999,221741
Louisiana,146828,179359,214576,253059,294032,317559,337949
Maine,2837,3971,5690,8443,13013,18092,26002
Maryland,240514,301636,373463,457424,531976,586444,643382
Massachusetts,152308,216998,277491,362333,499920,581285,648322
Michigan,108142,148432,200873,284749,388490,482830,594707
Minnesota,38285,53770,75618,111969,162540,210656,273659
Mississippi,66697,85334,108931,141147,172533,200116,232996
Missouri,62657,79862,103748,139862,186314,229162,281810
Montana,3567,5237,7657,11577,17118,22768,30482
Nebraska,9185,12062,16701,24366,35322,46614,61034
Nevada,30586,42372,59205,85966,120620,151417,186690
New Hampshire,6710,10010,13676,19839,28983,38221,51611
New Jersey,407329,483701,566714,658277,731665,801990,887833
New Mexico,6510,9378,13280,19809,30269,42192,61277
New York,777857,913500,1087674,1193947,1313077,1408056,1517227
North Carolina,169458,228623,309739,432392,585997,718431,864577
North Dakota,2729,3898,5950,8653,13053,17768,24570
Northern Mariana Islands,72,98,135,198,288,388,543
Ohio,178620,257850,337557,458948,602907,726849,876054
Oklahoma,24556,32793,48121,69064,95297,118586,145370
Oregon,29337,40880,58991,89144,131903,174930,230210
Pennsylvania,172160,230981,334036,450645,643587,778553,930031
Puerto Rico,114853,147551,190155,248108,310044,351304,386141
Rhode Island,20676,27560,36350,48875,63206,74401,85983
South Carolina,85977,113100,149365,200580,258688,311194,360268
South Dakota,5946,8351,12091,17815,25541,33196,43397
Tennessee,147629,177623,210686,247537,281572,309539,342484
Texas,293326,397935,529785,721851,952978,1205224,1395903
Utah,27582,38421,53905,78847,113958,147957,192416
Vermont,6198,8569,11803,16910,24082,30875,38752
Virgin Islands,424,451,661,879,1187,1506,2269
Virginia,227440,323149,408384,522860,639781,718789,795169
Washington,160267,215486,290364,391462,516501,613453,706394
West Virginia,11563,15957,22745,33665,48948,64625,85594
Wisconsin,48235,66666,93031,141473,192530,241084,300917
Wyoming,2618,3380,4574,6512,9263,12180,16396
