location,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99
Alabama,129,152,165,184,211,232,257,279,289,299,309,320,343,368,395,422,448,479,514,563,631,699,770
Alaska,1,3,5,6,8,9,9,10,10,11,13,16,17,18,20,21,22,23,25,29,31,35,38
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,102,130,149,172,180,192,199,211,223,238,249,258,273,288,306,323,345,362,395,432,487,543,588
Arkansas,69,86,99,114,122,128,134,139,146,152,160,167,179,193,212,223,233,253,270,292,314,335,360
California,420,472,518,635,659,689,715,738,760,780,819,822,855,875,898,944,1003,1066,1144,1241,1383,1623,1758
Colorado,41,47,53,62,67,72,76,79,83,88,90,95,100,110,116,120,126,131,137,147,160,176,196
Connecticut,10,14,18,21,24,26,27,29,32,33,34,36,44,45,46,46,51,54,58,64,72,83,89
Delaware,6,9,12,15,18,21,23,25,26,27,28,29,32,35,38,41,44,47,49,53,65,76,80
District of Columbia,0,1,2,3,4,4,5,5,6,7,7,9,10,11,11,12,13,14,15,16,19,23,28
Florida,973,1092,1139,1276,1372,1447,1528,1610,1695,1780,1836,1905,1964,2028,2097,2170,2236,2340,2450,2623,2904,3151,3356
Georgia,375,409,456,533,584,604,629,652,676,708,728,750,784,821,854,909,958,1007,1057,1120,1212,1304,1443
Guam,2,3,5,8,9,11,12,13,15,16,17,19,22,23,25,27,29,32,37,42,50,57,61
Hawaii,12,16,19,21,23,26,29,32,35,38,40,43,46,49,52,55,58,61,66,71,79,88,97
Idaho,34,40,42,52,59,63,65,67,70,73,75,77,79,84,91,100,106,111,113,124,134,146,157
Illinois,127,142,159,176,191,203,213,222,229,237,246,255,267,277,290,298,306,319,335,362,399,429,490
Indiana,165,190,218,243,263,275,285,294,303,311,318,326,338,351,364,379,395,412,436,458,520,568,596
Iowa,22,28,33,40,45,47,50,53,55,58,60,63,66,70,73,77,81,85,91,97,106,119,125
Kansas,39,47,50,58,66,74,79,84,91,100,110,119,129,137,143,149,155,164,174,182,197,229,271
Kentucky,122,142,182,197,220,230,239,247,254,260,266,273,285,298,312,326,342,360,381,414,515,566,590
Louisiana,129,149,160,175,186,198,216,231,246,265,282,293,307,314,323,329,339,354,364,393,429,476,505
Maine,1,3,4,5,7,8,10,11,14,15,17,18,20,22,24,28,31,34,38,43,51,57,66
Maryland,47,55,62,68,73,78,83,88,92,97,99,103,106,110,113,116,120,123,131,142,156,166,191
Massachusetts,30,33,37,41,45,50,52,55,58,61,64,68,73,74,76,80,84,87,92,98,108,122,130
Michigan,92,115,128,146,164,178,183,190,193,199,206,209,220,230,242,249,257,269,286,307,339,433,459
Minnesota,33,37,41,45,50,53,56,59,62,64,67,71,73,75,77,81,84,88,92,100,111,123,137
Mississippi,141,151,159,179,184,201,215,223,231,245,247,259,270,281,295,314,330,351,369,401,451,496,548
Missouri,79,93,106,119,129,136,137,146,154,162,172,185,195,203,212,222,236,252,264,280,313,329,364
Montana,15,21,24,30,33,35,40,42,44,47,47,50,53,54,57,58,63,67,73,81,92,105,115
Nebraska,12,15,20,23,26,29,30,31,32,34,35,37,42,43,45,46,48,51,55,60,67,73,82
Nevada,70,76,83,89,99,105,111,119,125,130,136,140,146,157,166,173,183,191,199,214,246,253,274
New Hampshire,4,7,9,11,12,14,16,16,18,18,19,21,22,25,25,27,30,32,37,39,44,50,53
New Jersey,51,64,74,80,89,96,102,108,112,116,120,124,135,144,149,155,158,165,170,181,197,220,238
New Mexico,27,30,33,37,41,44,48,51,54,57,60,63,66,69,71,74,77,84,89,96,105,121,132
New York,130,151,174,193,208,220,230,240,250,258,267,274,291,304,310,320,332,346,377,389,427,461,528
North Carolina,282,302,327,357,388,417,432,444,457,468,480,492,506,529,546,564,581,609,637,680,751,816,931
North Dakota,4,5,6,8,10,11,12,13,14,14,15,17,20,21,23,24,24,27,29,32,37,42,49
Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2
Ohio,92,117,144,169,190,209,219,229,239,248,256,264,280,297,313,328,344,362,383,410,454,525,583
Oklahoma,96,113,131,146,158,162,170,179,189,196,206,215,232,250,258,269,281,291,302,321,344,396,425
Oregon,84,91,98,118,134,150,151,156,160,166,175,184,195,208,215,226,233,246,269,304,337,371,398
Pennsylvania,131,151,174,193,208,216,230,234,242,255,266,276,284,291,301,311,317,327,343,367,397,427,479
Puerto Rico,30,34,40,51,52,55,58,61,64,67,69,72,76,78,81,84,89,94,101,110,126,140,157
Rhode Island,2,3,4,5,7,8,8,9,10,10,11,12,15,16,17,18,20,22,23,25,28,33,35
South Carolina,242,284,326,354,381,412,424,431,449,460,481,492,509,526,545,566,588,613,642,678,735,799,854
South Dakota,5,8,10,13,16,17,18,19,21,21,22,23,25,26,27,29,30,33,35,38,42,46,50
Tennessee,178,223,273,301,321,338,352,366,381,403,424,446,462,490,513,552,571,593,607,634,685,754,850
Texas,959,1105,1237,1346,1423,1490,1543,1592,1644,1688,1739,1788,1866,1940,2028,2118,2218,2335,2477,2630,2810,2890,3146
Utah,21,25,30,38,38,39,42,46,49,52,55,59,62,66,67,70,74,78,84,92,104,114,123
Vermont,0,3,4,5,5,6,7,7,7,8,8,9,10,11,12,13,14,15,15,17,19,21,27
Virgin Islands,0,0,1,1,1,1,1,2,2,2,3,4,4,5,6,6,6,7,8,8,10,11,13
Virginia,70,94,109,128,137,145,151,158,164,175,192,211,221,228,240,250,264,291,321,358,412,489,547
Washington,102,118,137,154,165,174,184,204,214,222,229,238,241,247,253,260,272,288,300,317,350,379,419
West Virginia,54,68,77,90,100,105,110,116,123,131,141,149,157,165,172,183,194,209,224,244,290,318,343
Wisconsin,42,53,63,75,85,91,101,107,111,117,121,125,132,135,140,145,150,154,166,182,207,226,242
Wyoming,5,11,15,17,19,20,22,24,26,28,30,33,39,42,46,49,54,58,64,70,83,104,112
