State,0.025,0.1,0.25,0.5,0.75,0.9,0.975
Alabama,49.0,176.0,249.0,542.0,1134.0,2569.0,2701.0
Alaska,4.0,7.0,13.0,48.0,94.0,167.0,330.0
American Samoa,0.0,0.0,0.0,0.0,0.0,1.0,6.0
Arizona,32.0,63.0,141.0,526.0,923.0,3874.0,4781.0
Arkansas,11.0,27.0,49.0,215.0,460.0,754.0,1952.0
California,181.0,467.0,910.0,2340.0,4542.0,6106.0,9800.0
Colorado,17.0,55.0,154.0,238.0,670.0,877.0,1067.0
Connecticut,8.0,24.0,57.0,132.0,180.0,507.0,562.0
Delaware,3.0,9.0,15.0,30.0,57.0,104.0,167.0
District of Columbia,0.0,0.0,0.0,0.0,7.0,27.0,44.0
Florida,109.0,723.0,781.0,3488.0,4748.0,5678.0,13061.0
Georgia,53.0,311.0,640.0,2343.0,5034.0,48474.0,48474.0
Guam,1.0,1.0,1.0,5.0,19.0,66.0,548.0
Hawaii,7.0,15.0,42.0,101.0,179.0,296.0,675.0
Idaho,9.0,9.0,29.0,119.0,418.0,1003.0,1154.0
Illinois,41.0,93.0,189.0,511.0,1382.0,1505.0,2313.0
Indiana,31.0,70.0,131.0,425.0,887.0,1623.0,4351.0
Iowa,12.0,18.0,53.0,141.0,317.0,585.0,1608.0
Kansas,15.0,42.0,70.0,241.0,370.0,725.0,1877.0
Kentucky,16.0,42.0,106.0,379.0,740.0,1846.0,2908.0
Louisiana,18.0,23.0,98.0,422.0,1111.0,2425.0,3017.0
Maine,4.0,6.0,14.0,51.0,135.0,204.0,444.0
Maryland,17.0,30.0,92.0,245.0,624.0,946.0,1492.0
Massachusetts,15.0,35.0,135.0,291.0,567.0,1034.0,2166.0
Michigan,27.0,57.0,153.0,435.0,1027.0,1336.0,3547.0
Minnesota,15.0,28.0,86.0,253.0,590.0,897.0,2001.0
Mississippi,11.0,15.0,102.0,476.0,710.0,1223.0,13428.0
Missouri,22.0,64.0,161.0,536.0,1010.0,1472.0,3655.0
Montana,5.0,10.0,25.0,186.0,564.0,616.0,2392.0
Nebraska,5.0,15.0,29.0,77.0,224.0,295.0,468.0
Nevada,11.0,29.0,66.0,222.0,347.0,659.0,1982.0
New Hampshire,1.0,2.0,9.0,17.0,52.0,162.0,251.0
New Jersey,25.0,65.0,208.0,353.0,693.0,1339.0,1632.0
New Mexico,12.0,20.0,55.0,221.0,370.0,451.0,1357.0
New York,75.0,144.0,485.0,750.0,1540.0,2732.0,6788.0
North Carolina,40.0,56.0,171.0,751.0,1610.0,6697.0,7415.0
North Dakota,3.0,7.0,14.0,46.0,115.0,224.0,465.0
Northern Mariana Islands,0.0,0.0,0.0,0.0,0.0,1.0,7.0
Ohio,32.0,77.0,173.0,454.0,1009.0,1783.0,3499.0
Oklahoma,14.0,20.0,68.0,622.0,931.0,2270.0,2586.0
Oregon,15.0,22.0,93.0,364.0,622.0,891.0,1642.0
Pennsylvania,42.0,53.0,227.0,522.0,1475.0,2099.0,4472.0
Puerto Rico,8.0,13.0,43.0,105.0,326.0,438.0,1001.0
Rhode Island,2.0,3.0,5.0,15.0,52.0,125.0,184.0
South Carolina,26.0,87.0,187.0,955.0,1248.0,1492.0,2975.0
South Dakota,3.0,3.0,14.0,31.0,85.0,141.0,428.0
Tennessee,32.0,35.0,235.0,761.0,1775.0,3780.0,31170.0
Texas,111.0,137.0,151.0,1755.0,6766.0,16741.0,132888.0
Utah,11.0,21.0,63.0,153.0,393.0,571.0,1481.0
Vermont,2.0,5.0,9.0,36.0,63.0,90.0,106.0
Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Virginia,33.0,95.0,259.0,447.0,930.0,1980.0,5534.0
Washington,33.0,68.0,124.0,545.0,957.0,1915.0,4571.0
West Virginia,17.0,58.0,106.0,286.0,460.0,510.0,980.0
Wisconsin,16.0,39.0,125.0,260.0,807.0,904.0,2258.0
Wyoming,2.0,3.0,7.0,32.0,134.0,321.0,378.0
