State,0.025,0.1,0.25,0.5,0.75,0.9,0.975
Alabama,0.0,3.0,6.0,47.0,115.0,424.0,657.0
Alaska,0.0,0.0,0.0,0.0,2.0,7.0,14.0
American Samoa,0.0,0.0,0.0,0.0,1.0,1.0,2.0
Arizona,4.0,11.0,18.0,43.0,213.0,285.0,1765.0
Arkansas,3.0,5.0,11.0,42.0,42.0,77.0,131.0
California,17.0,51.0,208.0,464.0,921.0,1491.0,7200.0
Colorado,3.0,8.0,18.0,45.0,93.0,181.0,511.0
Connecticut,1.0,2.0,7.0,22.0,89.0,115.0,651.0
Delaware,1.0,1.0,4.0,10.0,14.0,21.0,193.0
District of Columbia,0.0,0.0,1.0,3.0,4.0,19.0,58.0
Florida,30.0,70.0,182.0,431.0,1437.0,1568.0,2926.0
Georgia,6.0,15.0,57.0,180.0,290.0,721.0,1692.0
Guam,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Hawaii,0.0,1.0,1.0,2.0,11.0,38.0,145.0
Idaho,2.0,3.0,3.0,6.0,27.0,69.0,244.0
Illinois,19.0,23.0,56.0,165.0,281.0,477.0,2240.0
Indiana,3.0,8.0,39.0,106.0,189.0,346.0,1235.0
Iowa,2.0,7.0,16.0,37.0,71.0,104.0,515.0
Kansas,0.0,3.0,8.0,38.0,97.0,120.0,400.0
Kentucky,7.0,16.0,38.0,70.0,296.0,465.0,692.0
Louisiana,2.0,4.0,16.0,46.0,96.0,400.0,959.0
Maine,1.0,2.0,3.0,6.0,19.0,45.0,56.0
Maryland,6.0,9.0,28.0,48.0,86.0,176.0,868.0
Massachusetts,2.0,15.0,43.0,95.0,184.0,539.0,1278.0
Michigan,8.0,42.0,112.0,279.0,576.0,853.0,1197.0
Minnesota,3.0,9.0,11.0,40.0,84.0,196.0,975.0
Mississippi,0.0,2.0,6.0,17.0,69.0,91.0,359.0
Missouri,6.0,10.0,37.0,98.0,233.0,572.0,940.0
Montana,0.0,1.0,2.0,2.0,12.0,12.0,30.0
Nebraska,0.0,3.0,11.0,37.0,44.0,52.0,111.0
Nevada,3.0,5.0,16.0,22.0,49.0,85.0,169.0
New Hampshire,1.0,2.0,4.0,7.0,29.0,34.0,34.0
New Jersey,4.0,9.0,16.0,25.0,103.0,288.0,366.0
New Mexico,2.0,3.0,3.0,5.0,43.0,71.0,258.0
New York,22.0,47.0,126.0,426.0,563.0,2490.0,4420.0
North Carolina,7.0,13.0,30.0,65.0,170.0,388.0,1429.0
North Dakota,0.0,0.0,0.0,0.0,2.0,2.0,10.0
Northern Mariana Islands,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ohio,9.0,24.0,54.0,137.0,336.0,631.0,2600.0
Oklahoma,6.0,18.0,41.0,108.0,263.0,263.0,600.0
Oregon,2.0,4.0,16.0,40.0,104.0,207.0,969.0
Pennsylvania,12.0,35.0,138.0,264.0,332.0,455.0,2489.0
Puerto Rico,2.0,4.0,14.0,77.0,86.0,161.0,302.0
Rhode Island,0.0,0.0,1.0,1.0,3.0,32.0,36.0
South Carolina,2.0,4.0,7.0,14.0,42.0,156.0,226.0
South Dakota,0.0,1.0,1.0,2.0,4.0,6.0,25.0
Tennessee,3.0,15.0,28.0,144.0,198.0,393.0,1171.0
Texas,22.0,50.0,140.0,440.0,1058.0,2004.0,4327.0
Utah,3.0,3.0,3.0,3.0,4.0,11.0,60.0
Vermont,0.0,1.0,1.0,3.0,3.0,3.0,4.0
Virgin Islands,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Virginia,10.0,33.0,99.0,193.0,232.0,574.0,2043.0
Washington,6.0,13.0,43.0,109.0,214.0,819.0,1482.0
West Virginia,1.0,3.0,18.0,46.0,86.0,103.0,103.0
Wisconsin,3.0,10.0,24.0,42.0,197.0,6164.0,6164.0
Wyoming,0.0,0.0,0.0,0.0,1.0,3.0,145.0
