State,297,304,311,318
Alabama,11302.07,16692.8,24015.86,25298.61
Alaska,4539.02,5548.68,7130.56,9379.67
American Samoa,0.24,0.12,0.0,0.08
Arizona,20524.06,27972.38,32624.16,43002.41
Arkansas,11586.3,15635.71,19684.97,19203.61
California,55115.48,64278.3,71587.3,68049.33
Colorado,31320.87,45738.99,49448.49,45944.55
Connecticut,7616.61,8592.43,14987.28,16146.99
Delaware,1817.97,2700.91,3420.21,5051.92
District of Columbia,531.46,723.53,686.02,934.4
Florida,48306.5,55363.86,59845.83,56479.44
Georgia,15123.67,20033.6,23823.63,21826.89
Guam,480.03,629.45,601.67,643.01
Hawaii,1008.2,1143.28,1379.59,1991.82
Idaho,10409.25,14783.9,19330.61,16055.03
Illinois,49144.33,61063.18,60086.33,60868.73
Indiana,38014.7,52305.17,58464.88,52922.97
Iowa,31432.21,45344.14,52165.62,45687.26
Kansas,27772.46,27610.02,28738.79,37279.55
Kentucky,22739.31,28068.71,36699.54,36302.55
Louisiana,5385.34,6323.06,9931.83,13189.35
Maine,1423.59,2628.57,3524.35,5162.17
Maryland,9835.93,14112.27,16648.15,20961.06
Massachusetts,15745.98,24209.33,31992.27,36264.16
Michigan,38358.79,56001.24,57969.07,61591.96
Minnesota,33988.87,52378.71,53242.14,53017.11
Mississippi,7993.64,10703.48,11226.47,10892.38
Missouri,30310.52,43777.49,49667.8,49917.09
Montana,8323.57,9456.67,10949.57,13253.75
Nebraska,18203.09,26463.35,28295.4,34670.21
Nevada,10854.25,13512.0,18261.21,14932.83
New Hampshire,2020.46,2751.36,4636.92,5224.83
New Jersey,26371.91,36182.22,44323.38,45918.92
New Mexico,10106.0,13994.43,19676.36,16488.06
New York,31274.23,40422.28,48998.26,41476.75
North Carolina,22581.88,31161.03,43882.45,47671.12
North Dakota,12229.19,17770.42,19011.84,25345.96
Northern Mariana Islands,7.01,15.58,16.61,23.95
Ohio,39030.46,52486.71,58530.45,57165.52
Oklahoma,11306.88,15568.5,19525.9,20063.82
Oregon,6636.97,11253.94,13692.55,14998.47
Pennsylvania,28170.83,44906.33,47750.06,46761.09
Puerto Rico,5610.11,2288.7,8951.74,11122.96
Rhode Island,4594.38,7553.52,3697.86,7708.75
South Carolina,9638.21,12892.12,16809.54,24626.67
South Dakota,11064.02,13488.0,17937.8,24756.43
Tennessee,23226.97,31876.02,43142.66,47472.75
Texas,49026.13,61161.88,60684.11,60747.76
Utah,27645.29,36204.19,38827.87,39163.99
Vermont,233.99,669.0,1269.28,1180.78
Virgin Islands,28.45,48.97,86.66,79.68
Virginia,11724.08,16476.25,27274.63,20373.03
Washington,14032.45,17163.64,19622.05,22562.68
West Virginia,4696.71,3200.89,9361.79,10065.35
Wisconsin,50448.81,61451.31,59918.77,65818.21
Wyoming,4783.21,8073.29,7128.29,9580.81
