,0
Alabama,191.33333333333334
Alaska,11.0
American Samoa,0.0
Arizona,343.3333333333333
Arkansas,207.66666666666666
California,1008.6666666666666
Colorado,133.66666666666666
Connecticut,1003.0
Delaware,254.66666666666666
Diamond Princess,0.0
District of Columbia,105.33333333333333
Florida,493.6666666666667
Georgia,652.0
Grand Princess,0.0
Guam,4.666666666666667
Hawaii,13.333333333333334
Idaho,71.66666666666667
Illinois,1417.3333333333333
Indiana,314.3333333333333
Iowa,413.0
Kansas,169.0
Kentucky,258.0
Louisiana,693.0
Maine,32.333333333333336
Maryland,495.0
Massachusetts,1468.6666666666667
Michigan,585.0
Minnesota,310.3333333333333
Mississippi,107.33333333333333
Missouri,131.66666666666666
Montana,10.0
Nebraska,255.33333333333334
Nevada,174.0
New Hampshire,102.33333333333333
New Jersey,1279.6666666666667
New Mexico,162.33333333333334
New York,5847.333333333333
North Carolina,577.0
North Dakota,51.0
Northern Mariana Islands,1.3333333333333333
Ohio,885.3333333333334
Oklahoma,85.33333333333333
Oregon,39.0
Pennsylvania,436.3333333333333
Puerto Rico,128.33333333333334
Recovered,0.0
Rhode Island,300.3333333333333
South Carolina,169.0
South Dakota,143.0
Tennessee,497.6666666666667
Texas,655.3333333333334
Utah,119.33333333333333
Vermont,8.0
Virgin Islands,3.6666666666666665
Virginia,517.0
Washington,271.3333333333333
West Virginia,55.666666666666664
Wisconsin,163.66666666666666
Wyoming,43.666666666666664
